["N0",""]
["W0",""]
("N0","mode 1",1,"N0",1,"transmission")
(500, 3)
1.4989622900000000e+14 4.7830003717509936e-02 3.1026799112363523e+00
1.5019662224448897e+14 4.7004218220170611e-02 3.1181276797686182e+00
1.5049701548897797e+14 4.6064974140711257e-02 3.1321210629999121e+00
1.5079740873346694e+14 4.5038261058700145e-02 3.1438496379751770e+00
1.5109780197795591e+14 4.3959407685189106e-02 3.1526053415623063e+00
1.5139819522244488e+14 4.2870819837147890e-02 3.1578558280602866e+00
1.5169858846693388e+14 4.1818885037570253e-02 3.1593258135127971e+00
1.5199898171142284e+14 4.0850062834909315e-02 3.1570753832575256e+00
1.5229937495591181e+14 4.0006356018203279e-02 3.1515553701363261e+00
1.5259976820040081e+14 3.9320621241179216e-02 3.1436145403488318e+00
1.5290016144488978e+14 3.8812445486239092e-02 3.1344377615030123e+00
1.5320055468937875e+14 3.8485435473909368e-02 3.1254120974684692e+00
1.5350094793386775e+14 3.8326597379434980e-02 3.1179439192661293e+00
1.5380134117835672e+14 3.8308015111570844e-02 3.1132709500642206e+00
1.5410173442284569e+14 3.8390449379986188e-02 3.1123153700301582e+00
1.5440212766733466e+14 3.8528048045639321e-02 3.1156061888281075e+00
1.5470252091182366e+14 3.8673251267064633e-02 3.1232727268379099e+00
1.5500291415631262e+14 3.8781163897231768e-02 3.1350908337024910e+00
1.5530330740080159e+14 3.8812990205910392e-02 3.1505564199166782e+00
1.5560370064529059e+14 3.8738420853241542e-02 3.1689647861836669e+00
1.5590409388977956e+14 3.8537048312852769e-02 3.1894829067297126e+00
1.5620448713426853e+14 3.8198961929016506e-02 3.2112101669069397e+00
1.5650488037875750e+14 3.7724672515102552e-02 3.2332288079059870e+00
1.5680527362324650e+14 3.7124477458014483e-02 3.2546483060634528e+00
1.5710566686773547e+14 3.6417328684210402e-02 3.2746487028349085e+00
1.5740606011222444e+14 3.5629225112350046e-02 3.2925270169451086e+00
1.5770645335671344e+14 3.4791130851511698e-02 3.3077484702386770e+00
1.5800684660120241e+14 3.3936432335604234e-02 3.3200003115784873e+00
1.5830723984569138e+14 3.3098003192971695e-02 3.3292407983066137e+00
1.5860763309018038e+14 3.2305049049784283e-02 3.3357306151558581e+00
1.5890802633466934e+14 3.1580039915391295e-02 3.3400312166062704e+00
1.5920841957915831e+14 3.0936159037891712e-02 3.3429574379954561e+00
1.5950881282364728e+14 3.0375733956663601e-02 3.3454818516225915e+00
1.5980920606813628e+14 2.9890008728314741e-02 3.3486032594479012e+00
1.6010959931262525e+14 2.9460367041729829e-02 3.3532046201883525e+00
1.6040999255711422e+14 2.9060806809469299e-02 3.3599293739722409e+00
1.6071038580160322e+14 2.8661222828893367e-02 3.3690973257040788e+00
1.6101077904609219e+14 2.8230965644159039e-02 3.3806665978462522e+00
1.6131117229058116e+14 2.7742217121118858e-02 3.3942344575737735e+00
1.6161156553507012e+14 2.7172890357943992e-02 3.4090626300512361e+00
1.6191195877955912e+14 2.6508939297501120e-02 3.4241130229025951e+00
1.6221235202404809e+14 2.5746093376740244e-02 3.4380855067156593e+00
1.6251274526853706e+14 2.4891091792079666e-02 3.4494580696312460e+00
1.6281313851302606e+14 2.3962478033448670e-02 3.4565400880451849e+00
1.6311353175751503e+14 2.2990926834481919e-02 3.4575613977124329e+00
1.6341392500200400e+14 2.2018903712361919e-02 3.4508318440129937e+00
1.6371431824649300e+14 2.1099201370101801e-02 3.4350109444158758e+00
1.6401471149098197e+14 2.0291623904171042e-02 3.4095070620322074e+00
1.6431510473547094e+14 1.9657034058529432e-02 3.3749531072807253e+00
1.6461549797995991e+14 1.9248579261080898e-02 3.3335763006789128e+00
1.6491589122444891e+14 1.9101479940222862e-02 3.2891739746588349e+00
1.6521628446893788e+14 1.9224672319287470e-02 3.2464980507303465e+00
1.6551667771342684e+14 1.9598017229475063e-02 3.2102018213667938e+00
1.6581707095791584e+14 2.0176463186533624e-02 3.1838405237492742e+00
1.6611746420240481e+14 2.0899026097455926e-02 3.1693725397623842e+00
1.6641785744689378e+14 2.1698713628408303e-02 3.1672328921604054e+00
1.6671825069138275e+14 2.2510464019672240e-02 3.1767404840744518e+00
1.6701864393587175e+14 2.3276156150059239e-02 3.1965612959193890e+00
1.6731903718036072e+14 2.3947128525627359e-02 3.2250717683052974e+00
1.6761943042484969e+14 2.4485069459153845e-02 3.2605872443603530e+00
1.6791982366933869e+14 2.4862014007246996e-02 3.3014803390604990e+00
1.6822021691382766e+14 2.5059914579915889e-02 3.3462274184900718e+00
1.6852061015831662e+14 2.5070029928616972e-02 3.3934147689159841e+00
1.6882100340280562e+14 2.4892238263236340e-02 3.4417256675472778e+00
1.6912139664729459e+14 2.4534305435903691e-02 3.4899214224538113e+00
1.6942178989178356e+14 2.4011101855173383e-02 3.5368245283869335e+00
1.6972218313627256e+14 2.3343742377578674e-02 3.5813097629722290e+00
1.7002257638076153e+14 2.2558610155122168e-02 3.6223084158888903e+00
1.7032296962525050e+14 2.1686212877229535e-02 3.6588309771875847e+00
1.7062336286973947e+14 2.0759808219872732e-02 3.6900133958233585e+00
1.7092375611422847e+14 1.9813731442097540e-02 3.7151898966689338e+00
1.7122414935871744e+14 1.8881377175759415e-02 3.7339893390691832e+00
1.7152454260320641e+14 1.7992852018621476e-02 3.7464407201149910e+00
1.7182493584769538e+14 1.7172443742997041e-02 3.7530579454692563e+00
1.7212532909218438e+14 1.6436237523060105e-02 3.7548613325000857e+00
1.7242572233667334e+14 1.5790382161122357e-02 3.7532958597868582e+00
1.7272611558116231e+14 1.5230547198660236e-02 3.7500337095595810e+00
1.7302650882565131e+14 1.4742911895838040e-02 3.7466947282594862e+00
1.7332690207014028e+14 1.4306620303253590e-02 3.7445566353806017e+00
1.7362729531462925e+14 1.3897217700505423e-02 3.7443296774858044e+00
1.7392768855911825e+14 1.3490378460331350e-02 3.7460358773449709e+00
1.7422808180360722e+14 1.3065322355154731e-02 3.7489868381384901e+00
1.7452847504809619e+14 1.2607588602482126e-02 3.7518253923732354e+00
1.7482886829258519e+14 1.2111119055272269e-02 3.7525966038622163e+00
1.7512926153707416e+14 1.1579771069951141e-02 3.7488378544667698e+00
1.7542965478156312e+14 1.1028389060328336e-02 3.7377182860043998e+00
1.7573004802605209e+14 1.0483388615177121e-02 3.7163101820202353e+00
1.7603044127054109e+14 9.9824108223966774e-03 3.6821242867841133e+00
1.7633083451503006e+14 9.5720059858797838e-03 3.6340256159513453e+00
1.7663122775951903e+14 9.3018683803299650e-03 3.5734277341453748e+00
1.7693162100400800e+14 9.2149105847751552e-03 3.5051588705276693e+00
1.7723201424849700e+14 9.3354384441138912e-03 3.4370021998715008e+00
