["N0",""]
["W0",""]
("N0","mode 1",1,"N0",1,"transmission")
(500, 3)
1.4989622900000000e+14 4.2496253321265269e-02 3.0850881421947376e+00
1.5019662224448897e+14 4.2948843068957729e-02 3.0634540261727481e+00
1.5049701548897797e+14 4.3447376078218115e-02 3.0515980185910059e+00
1.5079740873346694e+14 4.3985804131584864e-02 3.0431527607584279e+00
1.5109780197795591e+14 4.4807504047026180e-02 3.0367710680332896e+00
1.5139819522244488e+14 4.6123872433528647e-02 3.0385608046282027e+00
1.5169858846693388e+14 4.7834621877792832e-02 3.0580784023334462e+00
1.5199898171142284e+14 4.9463093614130878e-02 3.1012429638999484e+00
1.5229937495591181e+14 5.0340954445414303e-02 3.1664816643927263e+00
1.5259976820040081e+14 4.9886212773642240e-02 3.2454566715910103e+00
1.5290016144488978e+14 4.7829150187052027e-02 3.3251532040632115e+00
1.5320055468937875e+14 4.4342943791328554e-02 3.3891602207635834e+00
1.5350094793386775e+14 4.0082254063707398e-02 3.4190528238370890e+00
1.5380134117835672e+14 3.6098543230100408e-02 3.4000195787751353e+00
1.5410173442284569e+14 3.3504659663623808e-02 3.3352311688871681e+00
1.5440212766733466e+14 3.2830179220862420e-02 3.2566651728985447e+00
1.5470252091182366e+14 3.3604651043191672e-02 3.2034383328804643e+00
1.5500291415631262e+14 3.4799591194951220e-02 3.1892116862515496e+00
1.5530330740080159e+14 3.5580133546283262e-02 3.2028756986960678e+00
1.5560370064529059e+14 3.5642823786351210e-02 3.2258681385809398e+00
1.5590409388977956e+14 3.5164755298231147e-02 3.2434426414347253e+00
1.5620448713426853e+14 3.4563830168786641e-02 3.2499641693627392e+00
1.5650488037875750e+14 3.4187237258655453e-02 3.2499891073860785e+00
1.5680527362324650e+14 3.4081915360399256e-02 3.2531744577264821e+00
1.5710566686773547e+14 3.4008910588782894e-02 3.2654735064882967e+00
1.5740606011222444e+14 3.3675102269134220e-02 3.2843465898197994e+00
1.5770645335671344e+14 3.2980212672149616e-02 3.3009426716959762e+00
1.5800684660120241e+14 3.2115558376251518e-02 3.3063103047798350e+00
1.5830723984569138e+14 3.1460759284696126e-02 3.2985701274992776e+00
1.5860763309018038e+14 3.1314224280538198e-02 3.2867859090506841e+00
1.5890802633466934e+14 3.1633409669332105e-02 3.2856926996849878e+00
1.5920841957915831e+14 3.2025029317931240e-02 3.3041147202451886e+00
1.5950881282364728e+14 3.1999318811931840e-02 3.3386869380462039e+00
1.5980920606813628e+14 3.1270407931906302e-02 3.3760738255928056e+00
1.6010959931262525e+14 2.9943122005951957e-02 3.3985002288205481e+00
1.6040999255711422e+14 2.8541876031884097e-02 3.3914462235174718e+00
1.6071038580160322e+14 2.7816326513848185e-02 3.3560576729086744e+00
1.6101077904609219e+14 2.8271381793194762e-02 3.3176654414128035e+00
1.6131117229058116e+14 2.9727132808444051e-02 3.3100155164200560e+00
1.6161156553507012e+14 3.1416327424053654e-02 3.3486123870348146e+00
1.6191195877955912e+14 3.2464357638769571e-02 3.4270929645967101e+00
1.6221235202404809e+14 3.2249771558725035e-02 3.5286407783648164e+00
1.6251274526853706e+14 3.0541591144490850e-02 3.6329645138402422e+00
1.6281313851302606e+14 2.7531466821839344e-02 3.7164204479857177e+00
1.6311353175751503e+14 2.3844372482308602e-02 3.7496578522650275e+00
1.6341392500200400e+14 2.0526935817530303e-02 3.7025357672265788e+00
1.6371431824649300e+14 1.8790276435996685e-02 3.5780718635390172e+00
1.6401471149098197e+14 1.9135335406293710e-02 3.4506786612027120e+00
1.6431510473547094e+14 2.0748988988615255e-02 3.3965197637468094e+00
1.6461549797995991e+14 2.2345940713348049e-02 3.4196860293062552e+00
1.6491589122444891e+14 2.3046366168143477e-02 3.4878319246861453e+00
1.6521628446893788e+14 2.2532329630898115e-02 3.5666521752110909e+00
1.6551667771342684e+14 2.0978278056101776e-02 3.6246531863791192e+00
1.6581707095791584e+14 1.8983249646581303e-02 3.6327577223708882e+00
1.6611746420240481e+14 1.7434487198555299e-02 3.5769821268859197e+00
1.6641785744689378e+14 1.7073461249097348e-02 3.4869803565243047e+00
1.6671825069138275e+14 1.7868886737367834e-02 3.4261966889354958e+00
1.6701864393587175e+14 1.9053277185441947e-02 3.4274116096544867e+00
1.6731903718036072e+14 1.9805385632994162e-02 3.4774653050023172e+00
1.6761943042484969e+14 1.9687045694562189e-02 3.5458647770949336e+00
1.6791982366933869e+14 1.8733395224478092e-02 3.6006611753337876e+00
1.6822021691382766e+14 1.7415303704444472e-02 3.6145879364196496e+00
1.6852061015831662e+14 1.6467987673079672e-02 3.5801120736895475e+00
1.6882100340280562e+14 1.6437459063674630e-02 3.5301027657199033e+00
1.6912139664729459e+14 1.7173532945047042e-02 3.5176243398737541e+00
1.6942178989178356e+14 1.7946099930806796e-02 3.5646212978156209e+00
1.6972218313627256e+14 1.8009614737641701e-02 3.6562180712439125e+00
1.7002257638076153e+14 1.6959413668091398e-02 3.7615201569542611e+00
1.7032296962525050e+14 1.4844494206430673e-02 3.8396036837562462e+00
1.7062336286973947e+14 1.2240216927324497e-02 3.8314605916593925e+00
1.7092375611422847e+14 1.0340028525105854e-02 3.6750494194057421e+00
1.7122414935871744e+14 1.0423668284675537e-02 3.4397257755525761e+00
1.7152454260320641e+14 1.2194760325829532e-02 3.3198495875507228e+00
1.7182493584769538e+14 1.4200283619321914e-02 3.3419420322279065e+00
1.7212532909218438e+14 1.5428729392641696e-02 3.4372723754065238e+00
1.7242572233667334e+14 1.5534902506600834e-02 3.5488092089477874e+00
1.7272611558116231e+14 1.4701174718203201e-02 3.6338497513441155e+00
1.7302650882565131e+14 1.3540890282320847e-02 3.6602199580348938e+00
