s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths
-0.7201521405326405,0.11589602857291559,-0.8279778335990717,0.974926153823373,0.11589602857291559,-0.7201521405326405,0.974926153823373,-0.8279778335990717,1.5
-3.1686001372811634,0.107065004618891,-1.9389052932796633,0.976319498705544,0.107065004618891,-3.1686001372811634,0.976319498705544,-1.9389052932796633,1.5020408163265306
-5.346824128467061,0.12763064731971593,-3.0436560203749985,0.9750523229854129,0.12763064731971593,-5.346824128467061,0.9750523229854129,-3.0436560203749985,1.5040816326530613
-7.3379163873928315,0.11318542550796194,-4.1424807690548935,0.97735319862711,0.11318542550796194,-7.3379163873928315,0.97735319862711,-4.1424807690548935,1.506122448979592
-9.922365856260337,0.0933597538536113,-5.243478477975026,0.9799057288884309,0.0933597538536113,-9.922365856260337,0.9799057288884309,-5.243478477975026,1.5081632653061225
-12.126515003339119,0.13341136156605019,-6.3378105063480135,0.9761418836812398,0.13341136156605019,-12.126515003339119,0.9761418836812398,-6.3378105063480135,1.510204081632653
-14.033309521774196,0.13429054744671068,-7.423223616538393,0.9780417446077256,0.13429054744671068,-14.033309521774196,0.9780417446077256,-7.423223616538393,1.5122448979591836
-16.39269921852152,0.10927110078870302,-8.514111484158855,0.9815243603774522,0.10927110078870302,-16.39269921852152,0.9815243603774522,-8.514111484158855,1.5142857142857142
-18.64631376655476,0.1415771634601648,-9.598218499564904,0.976378175377246,0.1415771634601648,-18.64631376655476,0.976378175377246,-9.598218499564904,1.5163265306122449
-20.56923024890428,0.1615359385021153,-10.672542039190848,0.9744767002238311,0.1615359385021153,-20.56923024890428,0.9744767002238311,-10.672542039190848,1.5183673469387755
-22.575659042259254,0.14423511938890218,-11.744939451980851,0.9770655791961568,0.14423511938890218,-22.575659042259254,0.9770655791961568,-11.744939451980851,1.5204081632653061
-24.62598850853351,0.1258352490145212,-12.815120429002391,0.9796193025808552,0.1258352490145212,-24.62598850853351,0.9796193025808552,-12.815120429002391,1.5224489795918368
-26.848122900682707,0.10494787686196341,-13.88486571010679,0.9842444386797552,0.10494787686196341,-26.848122900682707,0.9842444386797552,-13.88486571010679,1.5244897959183674
-29.260087704547185,0.11134847815149844,-14.953624769484838,0.9833456281759188,0.11134847815149844,-29.260087704547185,0.9833456281759188,-14.953624769484838,1.5265306122448983
-31.251810515828126,0.13136163754236188,-16.013668061066213,0.9816604732669124,0.13136163754236188,-31.251810515828126,0.9816604732669124,-16.013668061066213,1.5285714285714287
-33.279833947920245,0.11645782018033493,-17.07155762234101,0.983975534086268,0.11645782018033493,-33.279833947920245,0.983975534086268,-17.07155762234101,1.530612244897959
-35.64831143650425,0.11395024068618427,-18.129699892015392,0.982165093073002,0.11395024068618427,-35.64831143650425,0.982165093073002,-18.129699892015392,1.5326530612244897
-37.64607189726353,0.14241452809125216,-19.178428672037935,0.9773494194538335,0.14241452809125216,-37.64607189726353,0.9773494194538335,-19.178428672037935,1.5346938775510204
-39.550879896401966,0.13716351092620777,-20.22084237296388,0.9784812103663295,0.13716351092620777,-39.550879896401966,0.9784812103663295,-20.22084237296388,1.536734693877551
