["E0",""]
["E1",""]
["W0",""]
["W1",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.5163305329390139e-02 -3.1127372926418091e+00
1.5019662224448897e+14 3.4734801032191474e-02 -3.0781814296693408e+00
1.5049701548897797e+14 3.3854340416471965e-02 -3.0445887135749157e+00
1.5079740873346694e+14 3.2569203820102741e-02 -3.0175418024825786e+00
1.5109780197795591e+14 3.1018147075224614e-02 -3.0033517747448180e+00
1.5139819522244488e+14 2.9440456471945833e-02 -3.0069332806000539e+00
1.5169858846693388e+14 2.8102407584972403e-02 -3.0293180455532696e+00
1.5199898171142284e+14 2.7231368830728062e-02 -3.0668316967838218e+00
1.5229937495591181e+14 2.6980428685957087e-02 -3.1104464453800458e+00
1.5259976820040081e+14 2.7349725144310978e-02 -3.1472355259440321e+00
1.5290016144488978e+14 2.8149723786502236e-02 -3.1667773245937032e+00
1.5320055468937875e+14 2.9103481840261854e-02 -3.1656940458068039e+00
1.5350094793386775e+14 2.9953595647446485e-02 -3.1457869115774439e+00
1.5380134117835672e+14 3.0483202517782051e-02 -3.1114069472745478e+00
1.5410173442284569e+14 3.0538257302362610e-02 -3.0688474940218842e+00
1.5440212766733466e+14 3.0072679815617998e-02 -3.0253713632323933e+00
1.5470252091182366e+14 2.9145549331359155e-02 -2.9877866802654518e+00
1.5500291415631262e+14 2.7886504241174115e-02 -2.9623541343135065e+00
1.5530330740080159e+14 2.6496424709235963e-02 -2.9549099033125530e+00
1.5560370064529059e+14 2.5246394978248411e-02 -2.9685332867244276e+00
1.5590409388977956e+14 2.4402499349515792e-02 -2.9999632382305048e+00
1.5620448713426853e+14 2.4123033909449126e-02 -3.0391308838646074e+00
1.5650488037875750e+14 2.4411617435370819e-02 -3.0727746451752496e+00
1.5680527362324650e+14 2.5118538773847773e-02 -3.0895500702252088e+00
1.5710566686773547e+14 2.5981788900223526e-02 -3.0842779903805471e+00
1.5740606011222444e+14 2.6719744288958461e-02 -3.0586463991404607e+00
1.5770645335671344e+14 2.7114762376341445e-02 -3.0183393963611214e+00
1.5800684660120241e+14 2.7034548185106928e-02 -2.9703139351528307e+00
1.5830723984569138e+14 2.6429632428518840e-02 -2.9222409896591519e+00
1.5860763309018038e+14 2.5348623453106334e-02 -2.8827034471347610e+00
1.5890802633466934e+14 2.3949809816478800e-02 -2.8605972358163401e+00
1.5920841957915831e+14 2.2485382292714497e-02 -2.8636207902805788e+00
1.5950881282364728e+14 2.1269153041710696e-02 -2.8954137105136817e+00
1.5980920606813628e+14 2.0615931303611789e-02 -2.9506159620384809e+00
1.6010959931262525e+14 2.0720153463159544e-02 -3.0120563253102932e+00
1.6040999255711422e+14 2.1540959761537502e-02 -3.0579163974482313e+00
1.6071038580160322e+14 2.2823811964694726e-02 -3.0741409605164334e+00
1.6101077904609219e+14 2.4230741672603532e-02 -3.0584477442132600e+00
1.6131117229058116e+14 2.5447810487210405e-02 -3.0159973967629718e+00
1.6161156553507012e+14 2.6232724796741484e-02 -2.9547269227523398e+00
1.6191195877955912e+14 2.6433621862892449e-02 -2.8830976687547842e+00
1.6221235202404809e+14 2.5995017230671602e-02 -2.8094147588102372e+00
1.6251274526853706e+14 2.4953202787374541e-02 -2.7419841398769527e+00
1.6281313851302606e+14 2.3431466280900443e-02 -2.6897455648949613e+00
1.6311353175751503e+14 2.1644830489762752e-02 -2.6625567136223380e+00
1.6341392500200400e+14 1.9901516548847992e-02 -2.6694694196677813e+00
1.6371431824649300e+14 1.8566214044372174e-02 -2.7132539947870136e+00
1.6401471149098197e+14 1.7955201194677597e-02 -2.7827430552668395e+00
1.6431510473547094e+14 1.8188097922728637e-02 -2.8523484292104300e+00
1.6461549797995991e+14 1.9111749838153020e-02 -2.8959638777614685e+00
1.6491589122444891e+14 2.0384485734233630e-02 -2.9016757470894636e+00
1.6521628446893788e+14 2.1636958294843970e-02 -2.8720523703354015e+00
1.6551667771342684e+14 2.2578352702335325e-02 -2.8161933197728701e+00
1.6581707095791584e+14 2.3019874862239598e-02 -2.7440232852624420e+00
1.6611746420240481e+14 2.2863845346407483e-02 -2.6648686821792413e+00
1.6641785744689378e+14 2.2101631982293840e-02 -2.5880018351334022e+00
1.6671825069138275e+14 2.0817874305734216e-02 -2.5232273259074871e+00
1.6701864393587175e+14 1.9184976907026897e-02 -2.4812615441953842e+00
1.6731903718036072e+14 1.7458832099546386e-02 -2.4736275230863178e+00
1.6761943042484969e+14 1.5978826621490111e-02 -2.5091624280775164e+00
1.6791982366933869e+14 1.5112237234790028e-02 -2.5837334605105688e+00
1.6822021691382766e+14 1.5089075941924074e-02 -2.6714841752795677e+00
1.6852061015831662e+14 1.5850937949738915e-02 -2.7372444121009902e+00
1.6882100340280562e+14 1.7101020184119121e-02 -2.7603726158012560e+00
1.6912139664729459e+14 1.8473866226386231e-02 -2.7400267066280453e+00
1.6942178989178356e+14 1.9654865318188205e-02 -2.6857363117948845e+00
1.6972218313627256e+14 2.0428569078237743e-02 -2.6091388334815333e+00
1.7002257638076153e+14 2.0678936388255853e-02 -2.5204461121929129e+00
1.7032296962525050e+14 2.0366341029673971e-02 -2.4283152189153321e+00
1.7062336286973947e+14 1.9517486698797697e-02 -2.3412318335024791e+00
1.7092375611422847e+14 1.8233204417855451e-02 -2.2685061254833276e+00
1.7122414935871744e+14 1.6687431193615616e-02 -2.2202996025697499e+00
1.7152454260320641e+14 1.5114361779794807e-02 -2.2068896034214953e+00
1.7182493584769538e+14 1.3797780402296487e-02 -2.2351198657634392e+00
1.7212532909218438e+14 1.3023291749916021e-02 -2.2989029483976116e+00
1.7242572233667334e+14 1.2944131598218363e-02 -2.3721511268675330e+00
1.7272611558116231e+14 1.3470848454600171e-02 -2.4221769775599875e+00
1.7302650882565131e+14 1.4337643213643184e-02 -2.4312446000699341e+00
1.7332690207014028e+14 1.5246205230471339e-02 -2.3993384571202077e+00
1.7362729531462925e+14 1.5946851547538936e-02 -2.3352947455546844e+00
1.7392768855911825e+14 1.6269817274393829e-02 -2.2501739912772196e+00
1.7422808180360722e+14 1.6130947849870028e-02 -2.1542677778798027e+00
1.7452847504809619e+14 1.5513725244554501e-02 -2.0567444973583831e+00
1.7482886829258519e+14 1.4455072256063364e-02 -1.9673783866205219e+00
1.7512926153707416e+14 1.3055610413897205e-02 -1.8987294212458785e+00
1.7542965478156312e+14 1.1494688056424880e-02 -1.8671899540495267e+00
1.7573004802605209e+14 1.0033150522541752e-02 -1.8915578297835711e+00
1.7603044127054109e+14 9.0049472610232092e-03 -1.9826298304361574e+00
1.7633083451503006e+14 8.7261493289510113e-03 -2.1163393718922903e+00
1.7663122775951903e+14 9.2588761716296854e-03 -2.2288308109967949e+00
1.7693162100400800e+14 1.0330530011782980e-02 -2.2734975719243091e+00
1.7723201424849700e+14 1.1570763739811502e-02 -2.2492835555693049e+00
1.7753240749298597e+14 1.2692906194604961e-02 -2.1737364959909620e+00
1.7783280073747494e+14 1.3505806640357507e-02 -2.0633817997237451e+00
1.7813319398196394e+14 1.3889825656027255e-02 -1.9305025372005640e+00
1.7843358722645291e+14 1.3787114151719708e-02 -1.7840659856347627e+00
1.7873398047094188e+14 1.3189659533092700e-02 -1.6307408237567806e+00
1.7903437371543088e+14 1.2124068388796771e-02 -1.4764314471910389e+00
1.7933476695991984e+14 1.0647956929760989e-02 -1.3284904564726345e+00
1.7963516020440881e+14 8.8546798695849586e-03 -1.1986776058696207e+00
1.7993555344889781e+14 6.8770946178425213e-03 -1.1098278424738044e+00
1.8023594669338678e+14 4.9159192329161399e-03 -1.1163585592734449e+00
1.8053633993787575e+14 3.3818983357328130e-03 -1.3497194179420808e+00
1.8083673318236472e+14 3.0809771803085939e-03 -1.8545656588554926e+00
1.8113712642685372e+14 4.0839779534293684e-03 -2.1679727667636035e+00
1.8143751967134269e+14 5.4621221760828157e-03 -2.2088392807590651e+00
1.8173791291583166e+14 6.7139095623837998e-03 -2.1254138222470527e+00
1.8203830616032062e+14 7.6494586135206323e-03 -1.9864978762501468e+00
1.8233869940480962e+14 8.1850154492922704e-03 -1.8203395044295847e+00
1.8263909264929859e+14 8.2934804620892599e-03 -1.6405864002738462e+00
1.8293948589378756e+14 7.9850337399571987e-03 -1.4549017183473882e+00
1.8323987913827656e+14 7.2928989429848099e-03 -1.2692620540287927e+00
1.8354027238276553e+14 6.2722217460750278e-03 -1.0917358420421359e+00
1.8384066562725450e+14 5.0064716204132002e-03 -9.3731866234206496e-01
1.8414105887174350e+14 3.6121780724772232e-03 -8.4112666680248727e-01
1.8444145211623247e+14 2.2800153437081997e-03 -9.1286903797604857e-01
1.8474184536072144e+14 1.5386910693547915e-03 -1.4455559885588150e+00
1.8504223860521044e+14 2.0711550859529785e-03 -2.0108106309244738e+00
1.8534263184969941e+14 3.1121201008831550e-03 -2.0890478902716518e+00
1.8564302509418838e+14 4.0798368535996093e-03 -1.9748934278704862e+00
1.8594341833867738e+14 4.8127929140463306e-03 -1.7874662256625482e+00
1.8624381158316634e+14 5.2505867693021964e-03 -1.5611843308866169e+00
1.8654420482765531e+14 5.3715480338393856e-03 -1.3069103685430088e+00
1.8684459807214428e+14 5.1861613253965317e-03 -1.0261778281104830e+00
1.8714499131663325e+14 4.7360419868893479e-03 -7.1311298588842253e-01
1.8744538456112225e+14 4.0922492582544769e-03 -3.5212089233179056e-01
1.8774577780561122e+14 3.3656559436836884e-03 8.7454267461112969e-02
1.8804617105010019e+14 2.7370679658038194e-03 6.5288573474431766e-01
1.8834656429458919e+14 2.4615924435341207e-03 1.3544564027816790e+00
1.8864695753907816e+14 2.6749419226266098e-03 2.0568583838951016e+00
1.8894735078356712e+14 3.1958282722206704e-03 2.6313764031461320e+00
1.8924774402805612e+14 3.7616729374074145e-03 3.0945302046960137e+00
1.8954813727254509e+14 4.2040383689630235e-03 3.4958083084097020e+00
1.8984853051703406e+14 4.4355634594951615e-03 3.8691613691808073e+00
1.9014892376152306e+14 4.4201276942209952e-03 4.2379881024560699e+00
1.9044931700601203e+14 4.1596717164949573e-03 4.6239879516025084e+00
1.9074971025050100e+14 3.7008652059523591e-03 5.0552457381249098e+00
1.9105010349499000e+14 3.1652024983313790e-03 5.5754357632354576e+00
1.9135049673947897e+14 2.7987799346483166e-03 6.2322331849100383e+00
1.9165088998396794e+14 2.9261335723772888e-03 6.9733310115830749e+00
1.9195128322845691e+14 3.6225366957736071e-03 7.6249311368507495e+00
1.9225167647294588e+14 4.6531339571160152e-03 8.1328282768054283e+00
1.9255206971743488e+14 5.7783868662688535e-03 8.5429246319833059e+00
1.9285246296192384e+14 6.8408817623839364e-03 8.8964725332262020e+00
1.9315285620641281e+14 7.7345448776105687e-03 9.2168312423828045e+00
1.9345324945090181e+14 8.3809080623997237e-03 9.5165200204053271e+00
1.9375364269539078e+14 8.7234698264561476e-03 9.8020937007523958e+00
1.9405403593987975e+14 8.7296968727591101e-03 1.0077010336429241e+01
1.9435442918436875e+14 8.3889008391698494e-03 1.0343255574354162e+01
1.9465482242885772e+14 7.7072447491686067e-03 1.0601611958354944e+01
1.9495521567334669e+14 6.7083287720416888e-03 1.0850925197612266e+01
1.9525560891783569e+14 5.4370594966401146e-03 1.1086741761120063e+01
1.9555600216232466e+14 3.9578765796017398e-03 1.1296633839570925e+01
1.9585639540681362e+14 2.3557130021403913e-03 1.1432302560272930e+01
1.9615678865130262e+14 8.6324475721157132e-04 1.1080007099481637e+01
1.9645718189579159e+14 1.3530996633533195e-03 9.6073264133821290e+00
1.9675757514028056e+14 2.8778329670548193e-03 9.5718291177505623e+00
1.9705796838476953e+14 4.3107746779759253e-03 9.7389504446059707e+00
1.9735836162925850e+14 5.5306230364307761e-03 9.9476867908379489e+00
1.9765875487374750e+14 6.4734924071282209e-03 1.0170459061562500e+01
1.9795914811823647e+14 7.0919401158693988e-03 1.0398197428310500e+01
1.9825954136272544e+14 7.3578203756089955e-03 1.0626012398782017e+01
1.9855993460721444e+14 7.2653340595590001e-03 1.0850430959653979e+01
1.9886032785170341e+14 6.8261429663666086e-03 1.1068105332340735e+01
1.9916072109619238e+14 6.0664824697001336e-03 1.1273536083957190e+01
1.9946111434068138e+14 5.0333919353797172e-03 1.1454980361112398e+01
1.9976150758517034e+14 3.8054666903748909e-03 1.1584078451129553e+01
2.0006190082965931e+14 2.5263754481054464e-03 1.1574906024820500e+01
2.0036229407414831e+14 1.6219270406758288e-03 1.1152296112826624e+01
2.0066268731863728e+14 2.0091288993961984e-03 1.0484488434111306e+01
2.0096308056312625e+14 3.2358287041227363e-03 1.0327452147331339e+01
2.0126347380761525e+14 4.5672632680259732e-03 1.0405228751615017e+01
2.0156386705210422e+14 5.7820494817559867e-03 1.0560391165394369e+01
2.0186426029659319e+14 6.7864906454861828e-03 1.0746811086776267e+01
2.0216465354108216e+14 7.5217104617194526e-03 1.0947369114274972e+01
2.0246504678557112e+14 7.9496482035557228e-03 1.1153533187879578e+01
2.0276544003006012e+14 8.0533438456801849e-03 1.1359829649831134e+01
2.0306583327454909e+14 7.8342704549716983e-03 1.1561834151774965e+01
2.0336622651903806e+14 7.3092715566077182e-03 1.1754331769523946e+01
2.0366661976352706e+14 6.5142792484537129e-03 1.1928934709702681e+01
2.0396701300801603e+14 5.5121363337094532e-03 1.2070483502187763e+01
2.0426740625250500e+14 4.4042497466500142e-03 1.2148908516438739e+01
2.0456779949699400e+14 3.3717905294178888e-03 1.2102344935041673e+01
2.0486819274148297e+14 2.7725983514565572e-03 1.1854784473133664e+01
2.0516858598597194e+14 3.0018066659108196e-03 1.1535154691424490e+01
2.0546897923046094e+14 3.8885652606865952e-03 1.1397627341228407e+01
2.0576937247494991e+14 5.0001814770945664e-03 1.1427435592090985e+01
2.0606976571943888e+14 6.0876523849754177e-03 1.1545584326765972e+01
2.0637015896392788e+14 7.0234980835099641e-03 1.1709472922110251e+01
2.0667055220841684e+14 7.7310665029527480e-03 1.1898368590728225e+01
2.0697094545290581e+14 8.1660124044017190e-03 1.2101209753069231e+01
2.0727133869739478e+14 8.3084970229385883e-03 1.2311871586858452e+01
2.0757173194188375e+14 8.1532033944315026e-03 1.2526730525545759e+01
2.0787212518637275e+14 7.7053658153966214e-03 1.2742665773126928e+01
2.0817251843086172e+14 6.9850242975901516e-03 1.2955716392239399e+01
2.0847291167535069e+14 6.0291448543259313e-03 1.3160133242865740e+01
2.0877330491983969e+14 4.8878688851155408e-03 1.3345648569670395e+01
2.0907369816432866e+14 3.6267225756959230e-03 1.3487519123699151e+01
2.0937409140881762e+14 2.3577458859317421e-03 1.3507956988603688e+01
2.0967448465330662e+14 1.4152866297915249e-03 1.3129933632928294e+01
2.0997487789779559e+14 1.6432265628585439e-03 1.2405430380961196e+01
2.1027527114228456e+14 2.6829474004138407e-03 1.2229887770862847e+01
2.1057566438677356e+14 3.8076043718896697e-03 1.2319397704456252e+01
2.1087605763126253e+14 4.8178283860892254e-03 1.2495426362537531e+01
2.1117645087575150e+14 5.6388468720489759e-03 1.2708304123982471e+01
2.1147684412024050e+14 6.2317236739566273e-03 1.2940769696493680e+01
2.1177723736472947e+14 6.5751645093783976e-03 1.3185920203030681e+01
2.1207763060921844e+14 6.6591091648288813e-03 1.3440757139757942e+01
2.1237802385370741e+14 6.4850791338517426e-03 1.3703904591062706e+01
2.1267841709819641e+14 6.0676175608992255e-03 1.3975240294539693e+01
2.1297881034268538e+14 5.4316332394586386e-03 1.4256359405863712e+01
2.1327920358717434e+14 4.6087403303148554e-03 1.4551423407249493e+01
2.1357959683166331e+14 3.6379571002840057e-03 1.4869931354590843e+01
2.1387999007615231e+14 2.5712803255767622e-03 1.5238460765427986e+01
2.1418038332064128e+14 1.4987024711669602e-03 1.5761982209564980e+01
2.1448077656513025e+14 8.0478778997748702e-04 1.6971600181086895e+01
2.1478116980961925e+14 1.3889588318006200e-03 1.8282462570054271e+01
2.1508156305410822e+14 2.4134442007296098e-03 1.8844108343508100e+01
2.1538195629859719e+14 3.4274041560542362e-03 1.9234073448240640e+01
2.1568234954308619e+14 4.3474199724435319e-03 1.9574657028569707e+01
