["E0",""]
["E1",""]
["W0",""]
["W1",""]
("E0","mode 1",1,"E0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.2531340960714465e-02 -3.1135238256117210e+00
1.5019662224448897e+14 3.5659160351375535e-02 -3.1491357702211062e+00
1.5049701548897797e+14 3.7552211899207676e-02 -3.0163601675115324e+00
1.5079740873346694e+14 3.3149437796627587e-02 -2.8850538559663521e+00
1.5109780197795591e+14 2.7801755364934472e-02 -2.9542569158940286e+00
1.5139819522244488e+14 2.9062155794426368e-02 -3.0766005030754435e+00
1.5169858846693388e+14 3.0736733121694261e-02 -2.9959952377040029e+00
1.5199898171142284e+14 2.6483481222468755e-02 -2.9157134873825954e+00
1.5229937495591181e+14 2.2762974075828134e-02 -3.1195848532491190e+00
1.5259976820040081e+14 2.7682009367739187e-02 -3.2765061241692517e+00
1.5290016144488978e+14 3.1488356984916054e-02 -3.1481588222260588e+00
1.5320055468937875e+14 2.8562091080919061e-02 -3.0489789341988991e+00
1.5350094793386775e+14 2.7019417620611701e-02 -3.1858572522934923e+00
1.5380134117835672e+14 3.2696024531944486e-02 -3.2120608269907036e+00
1.5410173442284569e+14 3.5316149587665796e-02 -3.0137393713842067e+00
1.5440212766733466e+14 3.0298136916906852e-02 -2.8619337145032984e+00
1.5470252091182366e+14 2.6265472555090610e-02 -2.9729625136259941e+00
1.5500291415631262e+14 2.9725336321079397e-02 -3.0198583031636552e+00
1.5530330740080159e+14 3.0202964118054346e-02 -2.8360043765494294e+00
1.5560370064529059e+14 2.3501449694491822e-02 -2.7383407508876871e+00
1.5590409388977956e+14 2.0120289104397709e-02 -3.0208904228908273e+00
1.5620448713426853e+14 2.5122171552257423e-02 -3.1136616444372698e+00
1.5650488037875750e+14 2.5933659790201069e-02 -2.9564389829182227e+00
1.5680527362324650e+14 2.1577349751066070e-02 -2.9707455150255355e+00
1.5710566686773547e+14 2.3143492299715587e-02 -3.2051083814034951e+00
1.5740606011222444e+14 2.9152204186866586e-02 -3.1425845392189680e+00
1.5770645335671344e+14 2.9581976199035836e-02 -2.9394606710700746e+00
1.5800684660120241e+14 2.5452715252007357e-02 -2.8815241530433404e+00
1.5830723984569138e+14 2.5327936891777116e-02 -2.9858995471899470e+00
1.5860763309018038e+14 2.8427229564733723e-02 -2.9172028042770246e+00
1.5890802633466934e+14 2.7053938067137132e-02 -2.7314123702824387e+00
1.5920841957915831e+14 2.1512991396068069e-02 -2.6840074274677073e+00
1.5950881282364728e+14 1.9556973368972635e-02 -2.8796034648825093e+00
1.5980920606813628e+14 2.2026515163901719e-02 -2.9234988667032162e+00
1.6010959931262525e+14 2.1506964188005812e-02 -2.8212189683636901e+00
1.6040999255711422e+14 1.8159606056283761e-02 -2.8821788343931525e+00
1.6071038580160322e+14 1.9546615565192760e-02 -3.1156375770167908e+00
1.6101077904609219e+14 2.4484613645581643e-02 -3.0830629429470449e+00
1.6131117229058116e+14 2.5467255215175011e-02 -2.9060731976087149e+00
1.6161156553507012e+14 2.2582549116983448e-02 -2.8502086709365893e+00
1.6191195877955912e+14 2.2920257258846419e-02 -2.9540065336329020e+00
1.6221235202404809e+14 2.6626887867473806e-02 -2.8770180063915585e+00
1.6251274526853706e+14 2.5985149335779164e-02 -2.6511535163259268e+00
1.6281313851302606e+14 2.0157268046952427e-02 -2.5578938655509860e+00
1.6311353175751503e+14 1.7980819939111981e-02 -2.7822521703770824e+00
1.6341392500200400e+14 2.1204022373873956e-02 -2.7903326851148234e+00
1.6371431824649300e+14 1.9702944474326165e-02 -2.5983944702871189e+00
1.6401471149098197e+14 1.3992076989774975e-02 -2.7119346599754879e+00
1.6431510473547094e+14 1.6911920286655127e-02 -3.1210968363266973e+00
1.6461549797995991e+14 2.2871149861706724e-02 -2.9916903118874769e+00
1.6491589122444891e+14 2.1844332492306700e-02 -2.7767559440780185e+00
1.6521628446893788e+14 1.8757953447377892e-02 -2.8803694135601443e+00
1.6551667771342684e+14 2.3691369936758189e-02 -2.9963947337182697e+00
1.6581707095791584e+14 2.8340739776929122e-02 -2.7601039342474443e+00
1.6611746420240481e+14 2.5233293170458221e-02 -2.4911994950060770e+00
1.6641785744689378e+14 1.9719754096399245e-02 -2.5184976741638514e+00
1.6671825069138275e+14 2.1839485491324615e-02 -2.6406836229737696e+00
1.6701864393587175e+14 2.3992908605493239e-02 -2.4221047886823088e+00
1.6731903718036072e+14 1.8669803327177822e-02 -2.1660053718592134e+00
1.6761943042484969e+14 1.2108200430517862e-02 -2.4053606449468128e+00
1.6791982366933869e+14 1.5633643842351989e-02 -2.7193792515482058e+00
1.6822021691382766e+14 1.7569010626713344e-02 -2.5205255870166465e+00
1.6852061015831662e+14 1.3184894900913723e-02 -2.4690006037401404e+00
1.6882100340280562e+14 1.3670571989521140e-02 -2.9191677626855270e+00
1.6912139664729459e+14 2.0429132511830213e-02 -2.8658738990872457e+00
1.6942178989178356e+14 2.1887358302402959e-02 -2.5805855694625754e+00
1.6972218313627256e+14 1.8255565434283434e-02 -2.4823943586503474e+00
1.7002257638076153e+14 1.8756490806578908e-02 -2.6334221369296777e+00
1.7032296962525050e+14 2.3011826854686831e-02 -2.5121607068493153e+00
1.7062336286973947e+14 2.2357685907005945e-02 -2.2224940296508260e+00
1.7092375611422847e+14 1.6807905286085462e-02 -2.0939696141670532e+00
1.7122414935871744e+14 1.4864064972721865e-02 -2.3045401653921957e+00
1.7152454260320641e+14 1.7326278804580379e-02 -2.2724888857319372e+00
1.7182493584769538e+14 1.5608132662296057e-02 -2.0439329224127922e+00
1.7212532909218438e+14 1.0450877947551075e-02 -2.1266512735343506e+00
1.7242572233667334e+14 1.2007001848535332e-02 -2.5733502214914474e+00
1.7272611558116231e+14 1.6133221217964091e-02 -2.4604779513059385e+00
1.7302650882565131e+14 1.5269265832198432e-02 -2.2573192482564903e+00
1.7332690207014028e+14 1.3207068022491143e-02 -2.3730831895766942e+00
1.7362729531462925e+14 1.6779624101490823e-02 -2.4775747078130381e+00
1.7392768855911825e+14 2.0011328445386202e-02 -2.2351622262519522e+00
1.7422808180360722e+14 1.7941220755532453e-02 -1.9594573749428443e+00
1.7452847504809619e+14 1.4151122309086115e-02 -1.9558368288047872e+00
1.7482886829258519e+14 1.5298473358967378e-02 -2.0493562673904449e+00
1.7512926153707416e+14 1.6631258948376876e-02 -1.8172601741231567e+00
1.7542965478156312e+14 1.2859523215904705e-02 -1.5193291430146316e+00
1.7573004802605209e+14 7.5662157628609995e-03 -1.7003296102996175e+00
1.7603044127054109e+14 9.4107943383989305e-03 -2.1030761638508131e+00
1.7633083451503006e+14 1.0610214454962441e-02 -1.8911623370221970e+00
1.7663122775951903e+14 7.1927339990453670e-03 -1.8539803808606323e+00
1.7693162100400800e+14 8.2130297816049632e-03 -2.4825241151378936e+00
1.7723201424849700e+14 1.3522402931801724e-02 -2.3390499631478194e+00
