["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 2.9119301974064303e-03 9.4021871494052289e-01
1.8749545010187041e+14 2.6180006049932119e-03 1.1724730630789542e+00
1.8762061395374081e+14 2.1014291327925727e-03 1.3837209311306913e+00
1.8774577780561122e+14 1.3774383325544919e-03 1.5370448500296638e+00
1.8787094165748162e+14 5.2763902606359008e-04 1.3033890298587012e+00
1.8799610550935203e+14 8.0704449566513072e-04 -4.0115397496911187e-01
1.8812126936122244e+14 2.0128457972259065e-03 -4.3618720882159151e-01
1.8824643321309284e+14 3.3591747874745070e-03 -2.6459917411750467e-01
1.8837159706496325e+14 4.7719402988392421e-03 -5.3105448133046469e-02
1.8849676091683366e+14 6.2006949263815492e-03 1.7257560658921420e-01
1.8862192476870406e+14 7.5975493153059093e-03 4.0488267091623487e-01
1.8874708862057447e+14 8.9166149450113658e-03 6.4083005089985623e-01
1.8887225247244488e+14 1.0115305331396915e-02 8.7902032185710421e-01
1.8899741632431531e+14 1.1155877396040331e-02 1.1187248505857379e+00
1.8912258017618572e+14 1.2006873896830693e-02 1.3595363340392621e+00
1.8924774402805612e+14 1.2644337633550452e-02 1.6012177568179806e+00
1.8937290787992653e+14 1.3052725604428595e-02 1.8436296288001555e+00
1.8949807173179694e+14 1.3225478136168554e-02 2.0866919466228073e+00
1.8962323558366734e+14 1.3165217517358253e-02 2.3303627030132636e+00
1.8974839943553775e+14 1.2883568108020736e-02 2.5746244307108066e+00
1.8987356328740816e+14 1.2400606353697741e-02 2.8194741497790465e+00
1.8999872713927856e+14 1.1743964557284558e-02 3.0649134959672750e+00
1.9012389099114897e+14 1.0947626325262498e-02 3.3109358898740253e+00
1.9024905484301938e+14 1.0050463965932304e-02 3.5575067190303344e+00
1.9037421869488978e+14 9.0945785710980828e-03 3.8045307830116211e+00
1.9049938254676019e+14 8.1235121701674178e-03 4.0517991913673654e+00
1.9062454639863059e+14 7.1804088882886979e-03 4.2989076362442615e+00
1.9074971025050100e+14 6.3062098219199654e-03 4.5451460223966000e+00
1.9087487410237141e+14 5.5379751369927120e-03 4.7893905064828779e+00
1.9100003795424181e+14 4.9074311345649463e-03 5.0301017792644389e+00
1.9112520180611222e+14 4.4398158883498439e-03 5.2656290153247074e+00
1.9125036565798262e+14 4.1530055872968340e-03 5.4949815239809352e+00
1.9137552950985303e+14 4.0567725575262814e-03 5.7187954590225152e+00
1.9150069336172344e+14 4.1520611885988044e-03 5.9395983019168339e+00
1.9162585721359384e+14 4.4305023503260210e-03 6.1607601428612906e+00
1.9175102106546425e+14 4.8745909124896158e-03 6.3849234349128894e+00
1.9187618491733466e+14 5.4600967302678542e-03 6.6131464642754487e+00
1.9200134876920506e+14 6.1550654378105711e-03 6.8451023954080537e+00
1.9212651262107550e+14 6.9181753688764870e-03 7.0802794203788988e+00
1.9225167647294591e+14 7.7073062487658817e-03 7.3179732265902624e+00
1.9237684032481631e+14 8.4785092001825636e-03 7.5575570890818247e+00
1.9250200417668672e+14 9.1878449609518204e-03 7.7985510203016508e+00
1.9262716802855712e+14 9.7932332303849005e-03 8.0406196010491637e+00
1.9275233188042753e+14 1.0256242884747512e-02 8.2835482160736102e+00
1.9287749573229794e+14 1.0543749554137725e-02 8.5272195606870866e+00
1.9300265958416834e+14 1.0629391693628502e-02 8.7715983368017287e+00
1.9312782343603875e+14 1.0494765118484309e-02 9.0167271742896276e+00
1.9325298728790916e+14 1.0130307404245335e-02 9.2627369789115548e+00
1.9337815113977956e+14 9.5358371292827704e-03 9.5098790502328789e+00
1.9350331499164997e+14 8.7207290667958987e-03 9.7585970553403136e+00
1.9362847884352038e+14 7.7037272351834366e-03 1.0009684878104194e+01
1.9375364269539078e+14 6.5124312986426652e-03 1.0264658857338473e+01
1.9387880654726119e+14 5.1825726252122438e-03 1.0526762960667774e+01
1.9400397039913159e+14 3.7575086681809525e-03 1.0804327908072542e+01
1.9412913425100200e+14 2.2903791416829704e-03 1.1126850885832166e+01
1.9425429810287241e+14 8.8242931135387444e-04 1.1710973456886753e+01
1.9437946195474281e+14 8.1858861808253402e-04 1.3972903521522483e+01
1.9450462580661322e+14 2.0735520808008424e-03 1.4583671100782647e+01
1.9462978965848362e+14 3.2511109077545471e-03 1.4909424425631514e+01
1.9475495351035403e+14 4.2511471745624464e-03 1.5188349097715125e+01
1.9488011736222444e+14 5.0301044798164544e-03 1.5451601395095356e+01
1.9500528121409484e+14 5.5574829757977931e-03 1.5707931334106863e+01
