["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 2.9677778746737657e-03 4.8926020319682667e-01
1.8749545010187041e+14 2.5543677764855452e-03 6.7938229422600072e-01
1.8762061395374081e+14 1.9730065601329971e-03 6.8113881465066761e-01
1.8774577780561122e+14 1.7319445989617591e-03 3.1785753776653480e-01
1.8787094165748162e+14 2.4980091241493781e-03 -1.3995325615396657e-02
1.8799610550935203e+14 3.9310661677456078e-03 7.4730195773448464e-03
1.8812126936122244e+14 5.5743088461743780e-03 1.9491191067755620e-01
1.8824643321309284e+14 7.1846273195091412e-03 4.4842374778706423e-01
1.8837159706496325e+14 8.5891800525221603e-03 7.3171938494661948e-01
1.8849676091683366e+14 9.6487280387451049e-03 1.0294411088426623e+00
1.8862192476870406e+14 1.0256903062825071e-02 1.3336220815085349e+00
1.8874708862057447e+14 1.0346308627422767e-02 1.6389490953160002e+00
1.8887225247244488e+14 9.8942655932868096e-03 1.9405108105731723e+00
1.8899741632431531e+14 8.9263365015016354e-03 2.2318629417196396e+00
1.8912258017618572e+14 7.5183482925197777e-03 2.5016862777541320e+00
1.8924774402805612e+14 5.8024300556772665e-03 2.7249149567419964e+00
1.8937290787992653e+14 4.0026272572694062e-03 2.8331689667579218e+00
1.8949807173179694e+14 2.6222581546016437e-03 2.6341951556992980e+00
1.8962323558366734e+14 2.6681061342148857e-03 2.1355204768488805e+00
1.8974839943553775e+14 3.8954473587730055e-03 1.9963070999311987e+00
1.8987356328740816e+14 5.2598786468364741e-03 2.1296900625711768e+00
1.8999872713927856e+14 6.3661357753680599e-03 2.3644906349424484e+00
1.9012389099114897e+14 7.0846916216742344e-03 2.6419981364296183e+00
1.9024905484301938e+14 7.3817767835889130e-03 2.9403221920111449e+00
1.9037421869488978e+14 7.2801843966831216e-03 3.2496240685378806e+00
1.9049938254676019e+14 6.8438536768702122e-03 3.5646710722395221e+00
1.9062454639863059e+14 6.1658846689901410e-03 3.8822277143985371e+00
1.9074971025050100e+14 5.3561326968982088e-03 4.2000853104826037e+00
1.9087487410237141e+14 4.5281429746374009e-03 4.5169154372970768e+00
1.9100003795424181e+14 3.7861905413086733e-03 4.8328825546431524e+00
1.9112520180611222e+14 3.2135685063991110e-03 5.1509330066491961e+00
1.9125036565798262e+14 2.8636242652877461e-03 5.4772690920388349e+00
1.9137552950985303e+14 2.7551035448355873e-03 5.8177170426263674e+00
1.9150069336172344e+14 2.8716379247233554e-03 6.1712888904554211e+00
1.9162585721359384e+14 3.1633796893517467e-03 6.5301211078600438e+00
1.9175102106546425e+14 3.5512233726873142e-03 6.8861686476064214e+00
1.9187618491733466e+14 3.9364114058096323e-03 7.2345206099072445e+00
1.9200134876920506e+14 4.2098817389114689e-03 7.5723563219945405e+00
1.9212651262107550e+14 4.2663158676789796e-03 7.8974265856024468e+00
1.9225167647294591e+14 4.0231611788376200e-03 8.2031619030234442e+00
1.9237684032481631e+14 3.4343824405569504e-03 8.4718096384607495e+00
1.9250200417668672e+14 2.5206665232178687e-03 8.6456013819163857e+00
1.9262716802855712e+14 1.5239815192615222e-03 8.4726347223374212e+00
1.9275233188042753e+14 1.6507896404716631e-03 7.6709635195123500e+00
1.9287749573229794e+14 3.1915420160970485e-03 7.4986644713304687e+00
1.9300265958416834e+14 5.0863806589476332e-03 7.6698349311348890e+00
1.9312782343603875e+14 6.9800433316815607e-03 7.9334363774844601e+00
1.9325298728790916e+14 8.6779934458501157e-03 8.2312876163910538e+00
1.9337815113977956e+14 1.0023510234379361e-02 8.5446916976370595e+00
1.9350331499164997e+14 1.0890923708294297e-02 8.8657210321043252e+00
1.9362847884352038e+14 1.1193029592416040e-02 9.1901066290784570e+00
1.9375364269539078e+14 1.0888824464146478e-02 9.5148011851493273e+00
1.9387880654726119e+14 9.9882745553764689e-03 9.8366825552356083e+00
1.9400397039913159e+14 8.5531433120391385e-03 1.0151091816872643e+01
1.9412913425100200e+14 6.6944097563838576e-03 1.0448441999215042e+01
1.9425429810287241e+14 4.5708379699522066e-03 1.0701764555069536e+01
1.9437946195474281e+14 2.4237623904977807e-03 1.0792686535805716e+01
1.9450462580661322e+14 1.1823022527568811e-03 9.9590451294180582e+00
1.9462978965848362e+14 2.4481635876997545e-03 9.3311979116624073e+00
1.9475495351035403e+14 3.9773134073162741e-03 9.4644138913138551e+00
1.9488011736222444e+14 5.1082382649549696e-03 9.7275930441472518e+00
1.9500528121409484e+14 5.7203521365508034e-03 1.0028557587437108e+01
1.9513044506596525e+14 5.7906124679299367e-03 1.0344387295612163e+01
1.9525560891783569e+14 5.3590933164288004e-03 1.0666168780909166e+01
1.9538077276970609e+14 4.5185408405817827e-03 1.0988575053245039e+01
1.9550593662157650e+14 3.4034814292243508e-03 1.1305813345472837e+01
1.9563110047344691e+14 2.1765847232862738e-03 1.1605535544338053e+01
1.9575626432531731e+14 1.0149985882830254e-03 1.1835618445224899e+01
