["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 2.1525991102375863e-03 -3.7983633670607564e-01
1.8749545010187041e+14 2.7772396853850763e-03 -9.6686128616895253e-02
1.8762061395374081e+14 3.2569441049777165e-03 1.7363948723109374e-01
1.8774577780561122e+14 3.5324609506877957e-03 4.1170425059350363e-01
1.8787094165748162e+14 3.6283889240858892e-03 5.9841755819710118e-01
1.8799610550935203e+14 3.6592465438891738e-03 7.2273051197222760e-01
1.8812126936122244e+14 3.7810913488732401e-03 7.9929978875267127e-01
1.8824643321309284e+14 4.0794888955721642e-03 8.7171121867732504e-01
1.8837159706496325e+14 4.4986791863937756e-03 9.7685903996664247e-01
1.8849676091683366e+14 4.9044061827824221e-03 1.1188357761344525e+00
1.8862192476870406e+14 5.1857110966010657e-03 1.2812295006958345e+00
1.8874708862057447e+14 5.3041685763797145e-03 1.4445919275328771e+00
1.8887225247244488e+14 5.2932789272074629e-03 1.5948144767031072e+00
1.8899741632431531e+14 5.2262311472775344e-03 1.7272026896520067e+00
1.8912258017618572e+14 5.1667352091779931e-03 1.8475363934834286e+00
1.8924774402805612e+14 5.1304713973823303e-03 1.9671288996123362e+00
1.8937290787992653e+14 5.0866974680017591e-03 2.0939541396020394e+00
1.8949807173179694e+14 4.9949136394095307e-03 2.2280220360347718e+00
1.8962323558366734e+14 4.8399203410441896e-03 2.3640795560823471e+00
1.8974839943553775e+14 4.6386167806365475e-03 2.4976331734230448e+00
1.8987356328740816e+14 4.4187209960605146e-03 2.6297111725271756e+00
1.8999872713927856e+14 4.1890186839193900e-03 2.7670073206868500e+00
1.9012389099114897e+14 3.9276611380390722e-03 2.9166937739349885e+00
1.9024905484301938e+14 3.5998019606806497e-03 3.0802112243191755e+00
1.9037421869488978e+14 3.1886793054370032e-03 3.2509639725236950e+00
1.9049938254676019e+14 2.7160205367741446e-03 3.4163745787135129e+00
1.9062454639863059e+14 2.2394473348109926e-03 3.5640885457852236e+00
1.9074971025050100e+14 1.8248367172762775e-03 3.6962037586495278e+00
1.9087487410237141e+14 1.5021622641700097e-03 3.8501998061297456e+00
1.9100003795424181e+14 1.2469699151041341e-03 4.1033205279968055e+00
1.9112520180611222e+14 1.0425880956934296e-03 4.5541419817947366e+00
1.9125036565798262e+14 9.8704386002678606e-04 5.2548168421439225e+00
1.9137552950985303e+14 1.2182472389939379e-03 5.9915250851074111e+00
1.9150069336172344e+14 1.6517906382689600e-03 6.5465944217338441e+00
1.9162585721359384e+14 2.1073603535690772e-03 6.9540177866056858e+00
1.9175102106546425e+14 2.4628129445486949e-03 7.2650377923239615e+00
1.9187618491733466e+14 2.6748727681231051e-03 7.4919586741033655e+00
1.9200134876920506e+14 2.7951111713563292e-03 7.6284463764405661e+00
1.9212651262107550e+14 2.9750911273226568e-03 7.6826743163006368e+00
1.9225167647294591e+14 3.3871568115012214e-03 7.7088485840040075e+00
1.9237684032481631e+14 4.0683863549579946e-03 7.7777337263678907e+00
1.9250200417668672e+14 4.8910813803088446e-03 7.9131944093430278e+00
1.9262716802855712e+14 5.6661411940335457e-03 8.0996153538462785e+00
1.9275233188042753e+14 6.2229733473407236e-03 8.3126741933955550e+00
1.9287749573229794e+14 6.4465993526370948e-03 8.5292718108787682e+00
1.9300265958416834e+14 6.3055643386683785e-03 8.7254886686197466e+00
1.9312782343603875e+14 5.8862588216950914e-03 8.8724822085655450e+00
1.9325298728790916e+14 5.4301615649697934e-03 8.9404229210643855e+00
1.9337815113977956e+14 5.3041251711275295e-03 8.9327964900794203e+00
1.9350331499164997e+14 5.7476275533092517e-03 8.9268599528160877e+00
1.9362847884352038e+14 6.6006631681658446e-03 9.0024056500081002e+00
1.9375364269539078e+14 7.4691734521262218e-03 9.1652322535128974e+00
1.9387880654726119e+14 8.0014311309096978e-03 9.3846124990220936e+00
1.9400397039913159e+14 7.9833156737947799e-03 9.6285161376957333e+00
1.9412913425100200e+14 7.3582124703475251e-03 9.8660249812259835e+00
1.9425429810287241e+14 6.2470158949121356e-03 1.0056877094812410e+01
1.9437946195474281e+14 4.9943223806508267e-03 1.0136663441229800e+01
1.9450462580661322e+14 4.2142029255942855e-03 1.0047168539398854e+01
1.9462978965848362e+14 4.4035932426846943e-03 9.9171060899710781e+00
1.9475495351035403e+14 5.1780521875543243e-03 9.9500286033487271e+00
1.9488011736222444e+14 5.8284101374175513e-03 1.0130967623320076e+01
1.9500528121409484e+14 5.9557076010630190e-03 1.0387305650133255e+01
1.9513044506596525e+14 5.4484378188148948e-03 1.0669776328476615e+01
1.9525560891783569e+14 4.3987678423391477e-03 1.0937362422378758e+01
1.9538077276970609e+14 3.0615313332412260e-03 1.1124290839549353e+01
1.9550593662157650e+14 1.8739062159391496e-03 1.1065376030100865e+01
1.9563110047344691e+14 1.4900169501501088e-03 1.0638922577715409e+01
1.9575626432531731e+14 1.7561389800199482e-03 1.0459544610837835e+01
1.9588142817718772e+14 1.8035996016321392e-03 1.0575775089045775e+01
1.9600659202905812e+14 1.3573733753970592e-03 1.0731019812746348e+01
1.9613175588092853e+14 6.1990844549609635e-04 1.0408344838232605e+01
1.9625691973279894e+14 1.0249772734912553e-03 9.2181262361226111e+00
1.9638208358466934e+14 2.0604408391238249e-03 9.2775391248514065e+00
1.9650724743653975e+14 2.7947055526163717e-03 9.5370077679462497e+00
1.9663241128841016e+14 2.9621461944254147e-03 9.7993607419569173e+00
1.9675757514028056e+14 2.5268618093585420e-03 9.9482094824213991e+00
1.9688273899215097e+14 1.9631630464100442e-03 9.7230714226233630e+00
1.9700790284402138e+14 2.6227089927186730e-03 9.2611828591246965e+00
1.9713306669589178e+14 4.4075332278433084e-03 9.2657295943993301e+00
1.9725823054776219e+14 6.2983213456775083e-03 9.5070726746435241e+00
1.9738339439963259e+14 7.7085031117796292e-03 9.8239030142834469e+00
1.9750855825150300e+14 8.2663068410599241e-03 1.0159894135487239e+01
1.9763372210337341e+14 7.7887566925389081e-03 1.0480270923628515e+01
1.9775888595524381e+14 6.3414930493723154e-03 1.0733185215782475e+01
1.9788404980711422e+14 4.4238061558845377e-03 1.0776524889196375e+01
1.9800921365898462e+14 3.6595453639370187e-03 1.0364909487589873e+01
1.9813437751085503e+14 5.4265895473711301e-03 1.0101046124360700e+01
1.9825954136272544e+14 7.9390018163089850e-03 1.0238802761092309e+01
1.9838470521459588e+14 9.9309490530574730e-03 1.0520543253910459e+01
1.9850986906646628e+14 1.0876437972316421e-02 1.0847807880688471e+01
1.9863503291833669e+14 1.0577490824648351e-02 1.1180207026795932e+01
1.9876019677020709e+14 9.1038695190365643e-03 1.1484422091456373e+01
1.9888536062207750e+14 6.8143149561903614e-03 1.1699429039547310e+01
1.9901052447394791e+14 4.5473236462336437e-03 1.1660275932176461e+01
1.9913568832581831e+14 4.0814887957628864e-03 1.1242294373884175e+01
1.9926085217768872e+14 5.7269697107024693e-03 1.1087157308008917e+01
1.9938601602955912e+14 7.5390160512189431e-03 1.1250982701416230e+01
1.9951117988142953e+14 8.5794446623104290e-03 1.1528773351782867e+01
1.9963634373329994e+14 8.5826217450273301e-03 1.1840810107355400e+01
1.9976150758517034e+14 7.5958942435214215e-03 1.2147631823997541e+01
1.9988667143704075e+14 5.8898134988762153e-03 1.2406639369275052e+01
2.0001183528891116e+14 3.9483939175802823e-03 1.2524603225697145e+01
2.0013699914078156e+14 2.6227253377641238e-03 1.2292244961152056e+01
2.0026216299265197e+14 2.7962127092398086e-03 1.1913092802415154e+01
2.0038732684452238e+14 3.5355275901434989e-03 1.1909500603480707e+01
2.0051249069639278e+14 3.8301310982207198e-03 1.2104584592775566e+01
