["E0",""]
["E1",""]
["W0",""]
["W1",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.5765357409040605e-02 3.0963032335069682e+00
1.5019662224448897e+14 3.7329762253506225e-02 3.2180919456337933e+00
1.5049701548897797e+14 3.3720235411483210e-02 3.3192338160320403e+00
1.5079740873346694e+14 2.9916824126464386e-02 3.2740965316324484e+00
1.5109780197795591e+14 3.0472807037188812e-02 3.2049548171919828e+00
1.5139819522244488e+14 3.1363568413066915e-02 3.2552943135608001e+00
1.5169858846693388e+14 2.8722658667166300e-02 3.3192214160260267e+00
1.5199898171142284e+14 2.5192126745767492e-02 3.2436154864629581e+00
1.5229937495591181e+14 2.6010403821209876e-02 3.0926092818177882e+00
1.5259976820040081e+14 2.9229520997774303e-02 3.0897780032037909e+00
1.5290016144488978e+14 2.9556496931315925e-02 3.1707035576936096e+00
1.5320055468937875e+14 2.7495380178798590e-02 3.1643050564033044e+00
1.5350094793386775e+14 2.8546625214813364e-02 3.0726948112920067e+00
1.5380134117835672e+14 3.2387399714781447e-02 3.1132674642826301e+00
1.5410173442284569e+14 3.2766649972993084e-02 3.2618330847068910e+00
1.5440212766733466e+14 2.8850904887889564e-02 3.3330603702555459e+00
1.5470252091182366e+14 2.7097247835674788e-02 3.2457035337460698e+00
1.5500291415631262e+14 2.9476946039409976e-02 3.2460741576329983e+00
1.5530330740080159e+14 2.8948227967555827e-02 3.3805299066329231e+00
1.5560370064529059e+14 2.3974898353693614e-02 3.4161022374446035e+00
1.5590409388977956e+14 2.2234918382692405e-02 3.2204005637708097e+00
1.5620448713426853e+14 2.5787521297120319e-02 3.1670975281932727e+00
1.5650488037875750e+14 2.6384760345194363e-02 3.2784261313303258e+00
1.5680527362324650e+14 2.3378612309887418e-02 3.2767517511724513e+00
1.5710566686773547e+14 2.4131245634558256e-02 3.1287537929561640e+00
1.5740606011222444e+14 2.8349246912903213e-02 3.1611703148705694e+00
1.5770645335671344e+14 2.8873960641094050e-02 3.3180133443566753e+00
1.5800684660120241e+14 2.5600910960329650e-02 3.3809632423764677e+00
1.5830723984569138e+14 2.4680008601136397e-02 3.3048401960743292e+00
1.5860763309018038e+14 2.6667297558977576e-02 3.3339121507537222e+00
1.5890802633466934e+14 2.5676927195090758e-02 3.4692301404702808e+00
1.5920841957915831e+14 2.1326540512387356e-02 3.4944612301580240e+00
1.5950881282364728e+14 1.9837691695743644e-02 3.3216435458489988e+00
1.5980920606813628e+14 2.2099062834492252e-02 3.2717066077161276e+00
1.6010959931262525e+14 2.1991064179184960e-02 3.3418685235034817e+00
1.6040999255711422e+14 1.9968113819455860e-02 3.2794356442339270e+00
1.6071038580160322e+14 2.1963513323304124e-02 3.1353739919807464e+00
1.6101077904609219e+14 2.5916615895508612e-02 3.1950213689921880e+00
1.6131117229058116e+14 2.6226834685241663e-02 3.3346781979161602e+00
1.6161156553507012e+14 2.4453827218568550e-02 3.3594520972933752e+00
