["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 2.9563221525695151e-03 8.9013581013457732e-01
1.8749545010187041e+14 2.8764568949754005e-03 1.1675362075133020e+00
1.8762061395374081e+14 2.4860362767547975e-03 1.4183776446050080e+00
1.8774577780561122e+14 1.8004920460215146e-03 1.6053779712004832e+00
1.8787094165748162e+14 9.2411206794556014e-04 1.5045367004620891e+00
1.8799610550935203e+14 8.4972404687938693e-04 2.2595818923201877e-01
1.8812126936122244e+14 2.1047413450985646e-03 -1.1035534836188847e-02
1.8824643321309284e+14 3.6043625466989008e-03 1.5135636949722886e-01
1.8837159706496325e+14 5.1477930726127564e-03 3.8860812342605211e-01
1.8849676091683366e+14 6.6313201789969358e-03 6.5103926096460973e-01
1.8862192476870406e+14 7.9658804664692728e-03 9.2466891486701663e-01
1.8874708862057447e+14 9.0738190290157450e-03 1.2040569160064738e+00
1.8887225247244488e+14 9.8920833553006234e-03 1.4866036065073795e+00
1.8899741632431531e+14 1.0375764944105892e-02 1.7708441119195111e+00
1.8912258017618572e+14 1.0500772266151089e-02 2.0558016510531467e+00
1.8924774402805612e+14 1.0265217378445813e-02 2.3406826426521663e+00
1.8937290787992653e+14 9.6893542078895067e-03 2.6246827721114068e+00
1.8949807173179694e+14 8.8140593849867308e-03 2.9067974324344559e+00
1.8962323558366734e+14 7.6979768944749087e-03 3.1855403497075088e+00
1.8974839943553775e+14 6.4135816629704683e-03 3.4583948339669184e+00
1.8987356328740816e+14 5.0426010247688283e-03 3.7205333163097487e+00
1.8999872713927856e+14 3.6716641916102674e-03 3.9612766909394281e+00
1.9012389099114897e+14 2.3908089748927723e-03 4.1519649162845305e+00
1.9024905484301938e+14 1.3087256329306998e-03 4.1907316350704109e+00
1.9037421869488978e+14 6.8462961336632786e-04 3.6807505070642526e+00
1.9049938254676019e+14 8.6820338814534313e-04 3.0322041732324245e+00
1.9062454639863059e+14 1.2088965764477731e-03 3.0269150692863667e+00
1.9074971025050100e+14 1.3645317655505444e-03 3.2334030660088788e+00
1.9087487410237141e+14 1.3039855061924533e-03 3.5288397070875783e+00
1.9100003795424181e+14 1.0634419026097190e-03 3.9098848438046847e+00
