["N0",""]
["N1",""]
["W0",""]
["E0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.3991127631953943e-02 3.1379920879136933e+00
1.5019662224448897e+14 3.5975500631181254e-02 3.1331761657809456e+00
1.5049701548897797e+14 3.7199616353910406e-02 3.1799280367298617e+00
1.5079740873346694e+14 3.6672976781481938e-02 3.2412969476298983e+00
1.5109780197795591e+14 3.4707105030520415e-02 3.2768931468603530e+00
1.5139819522244488e+14 3.2727349187026702e-02 3.2611899383288381e+00
1.5169858846693388e+14 3.2338900733880981e-02 3.2127803239997124e+00
1.5199898171142284e+14 3.3763748077255532e-02 3.1913101779597688e+00
1.5229937495591181e+14 3.5516840968648461e-02 3.2314619477325239e+00
1.5259976820040081e+14 3.5824954277686394e-02 3.3175987097125370e+00
1.5290016144488978e+14 3.3820147115589075e-02 3.4092077702683508e+00
1.5320055468937875e+14 2.9970409213837371e-02 3.4542730571918936e+00
1.5350094793386775e+14 2.6175479588398689e-02 3.3994665523325578e+00
1.5380134117835672e+14 2.5048831900428271e-02 3.2565061376265563e+00
1.5410173442284569e+14 2.7276005671457080e-02 3.1525115730369015e+00
1.5440212766733466e+14 3.0619164676144370e-02 3.1609452664969413e+00
1.5470252091182366e+14 3.2660550285328153e-02 3.2457658126182722e+00
1.5500291415631262e+14 3.2351068337998216e-02 3.3498473290757205e+00
1.5530330740080159e+14 3.0049037463078368e-02 3.4226922115756784e+00
1.5560370064529059e+14 2.7252986876959113e-02 3.4257268044967422e+00
1.5590409388977956e+14 2.5843549344449098e-02 3.3645031979727849e+00
1.5620448713426853e+14 2.6473193103181684e-02 3.3105424662760026e+00
1.5650488037875750e+14 2.7872744181569247e-02 3.3208174171839553e+00
1.5680527362324650e+14 2.8363436045582585e-02 3.3823603975673362e+00
1.5710566686773547e+14 2.7224012100840710e-02 3.4488761484663244e+00
1.5740606011222444e+14 2.4996446039435138e-02 3.4705967003736551e+00
1.5770645335671344e+14 2.3208488826579797e-02 3.4198703083302768e+00
1.5800684660120241e+14 2.3261555262038890e-02 3.3374100078135012e+00
1.5830723984569138e+14 2.4888537746921024e-02 3.3056877825227708e+00
1.5860763309018038e+14 2.6498525797101817e-02 3.3474134087784009e+00
1.5890802633466934e+14 2.6796031890935400e-02 3.4276462807188688e+00
1.5920841957915831e+14 2.5531676096985770e-02 3.4982661687676373e+00
1.5950881282364728e+14 2.3519607461532119e-02 3.5168152397488397e+00
1.5980920606813628e+14 2.2197082835759989e-02 3.4725938305585138e+00
1.6010959931262525e+14 2.2463343928270547e-02 3.4178063115882029e+00
1.6040999255711422e+14 2.3684317565797135e-02 3.4172479711634738e+00
1.6071038580160322e+14 2.4450958427566356e-02 3.4753618904321750e+00
1.6101077904609219e+14 2.3864969653855688e-02 3.5533578361513403e+00
1.6131117229058116e+14 2.2039971766803289e-02 3.6013265970940700e+00
1.6161156553507012e+14 2.0073704368925128e-02 3.5776067209551194e+00
1.6191195877955912e+14 1.9437725159807729e-02 3.4940261660438461e+00
1.6221235202404809e+14 2.0535962147517208e-02 3.4362059599546746e+00
1.6251274526853706e+14 2.2182809782190165e-02 3.4598803219739049e+00
1.6281313851302606e+14 2.2943909127303996e-02 3.5441304639835329e+00
1.6311353175751503e+14 2.2156922419778798e-02 3.6404058749606980e+00
1.6341392500200400e+14 2.0128383184414303e-02 3.6968450346311048e+00
1.6371431824649300e+14 1.8031665847644127e-02 3.6703571320099999e+00
1.6401471149098197e+14 1.7318226451723265e-02 3.5756893686243973e+00
1.6431510473547094e+14 1.8325037490844544e-02 3.5089901615461327e+00
1.6461549797995991e+14 1.9869436351037287e-02 3.5291386600710557e+00
1.6491589122444891e+14 2.0630317656468961e-02 3.6119780631480856e+00
1.6521628446893788e+14 2.0040685330544202e-02 3.7087756884927630e+00
1.6551667771342684e+14 1.8360879331617886e-02 3.7721458379372690e+00
1.6581707095791584e+14 1.6500640985089014e-02 3.7652985826564720e+00
1.6611746420240481e+14 1.5542681313730412e-02 3.6945898531390804e+00
1.6641785744689378e+14 1.5836471231113553e-02 3.6289830251251263e+00
1.6671825069138275e+14 1.6674540015132511e-02 3.6233180466620452e+00
1.6701864393587175e+14 1.7161389766780510e-02 3.6676388258396151e+00
1.6731903718036072e+14 1.6922508163125294e-02 3.7243974460288460e+00
1.6761943042484969e+14 1.6163729895893732e-02 3.7604039776485032e+00
1.6791982366933869e+14 1.5407348903430283e-02 3.7628146351520373e+00
1.6822021691382766e+14 1.5055808092062289e-02 3.7485880319703648e+00
1.6852061015831662e+14 1.5050693048945555e-02 3.7480054760312425e+00
1.6882100340280562e+14 1.5003218743509347e-02 3.7717682082596853e+00
1.6912139664729459e+14 1.4617209755381482e-02 3.8044122495989265e+00
1.6942178989178356e+14 1.3942253975779004e-02 3.8210987028081354e+00
1.6972218313627256e+14 1.3323439539573741e-02 3.8081865109295920e+00
1.7002257638076153e+14 1.3098423556150778e-02 3.7795803963845622e+00
1.7032296962525050e+14 1.3257220064946090e-02 3.7670455748752660e+00
1.7062336286973947e+14 1.3452970129002912e-02 3.7864102927075343e+00
1.7092375611422847e+14 1.3342025325721452e-02 3.8255638746365719e+00
1.7122414935871744e+14 1.2853998251933483e-02 3.8586834826330652e+00
1.7152454260320641e+14 1.2227958242112872e-02 3.8641496296529940e+00
1.7182493584769538e+14 1.1831350030212986e-02 3.8423190059151420e+00
1.7212532909218438e+14 1.1836888427341334e-02 3.8208097195169586e+00
1.7242572233667334e+14 1.2050282624745867e-02 3.8278790640832465e+00
1.7272611558116231e+14 1.2108892428010158e-02 3.8650274427128024e+00
1.7302650882565131e+14 1.1790142709905223e-02 3.9110660155521422e+00
1.7332690207014028e+14 1.1154893100527041e-02 3.9383441549254061e+00
1.7362729531462925e+14 1.0505806541049524e-02 3.9287007079402465e+00
