["N0",""]
["N1",""]
["W0",""]
["E0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.1491527864124458e-02 -3.0095086933550363e+00
1.5019662224448897e+14 3.0937246023463920e-02 -3.1551396313197051e+00
1.5049701548897797e+14 3.4745321813110581e-02 -3.2274699054902469e+00
1.5079740873346694e+14 3.8961275879321994e-02 -3.1667396008719728e+00
1.5109780197795591e+14 4.0040872406908699e-02 -3.0363490284066064e+00
1.5139819522244488e+14 3.7011928946483884e-02 -2.9156685389829371e+00
1.5169858846693388e+14 3.1708289743519955e-02 -2.8897042658257734e+00
1.5199898171142284e+14 2.8493357411382002e-02 -3.0094445835665731e+00
1.5229937495591181e+14 3.0513742090123634e-02 -3.1384176019369985e+00
1.5259976820040081e+14 3.4845528590859973e-02 -3.1189687659416134e+00
1.5290016144488978e+14 3.6862596051554682e-02 -2.9894756777281981e+00
1.5320055468937875e+14 3.4486275200906566e-02 -2.8408912914494939e+00
1.5350094793386775e+14 2.8654451677020878e-02 -2.7746720097885822e+00
1.5380134117835672e+14 2.3606694561162562e-02 -2.9093973508749378e+00
1.5410173442284569e+14 2.4740093259697660e-02 -3.1478024351767453e+00
1.5440212766733466e+14 3.0277925459102975e-02 -3.1923829321407160e+00
1.5470252091182366e+14 3.4436596431025021e-02 -3.0697390026217066e+00
1.5500291415631262e+14 3.4318861393068188e-02 -2.8982711125509515e+00
1.5530330740080159e+14 3.0105872770124654e-02 -2.7736486244745708e+00
1.5560370064529059e+14 2.4775971409809323e-02 -2.7991670617533870e+00
1.5590409388977956e+14 2.3235407057677352e-02 -2.9856198735109754e+00
1.5620448713426853e+14 2.6595304016076425e-02 -3.0897269619051984e+00
1.5650488037875750e+14 3.0323561767466336e-02 -3.0203518788359278e+00
1.5680527362324650e+14 3.0954889794981240e-02 -2.8756555595016291e+00
1.5710566686773547e+14 2.8021502627764712e-02 -2.7557174664396413e+00
1.5740606011222444e+14 2.3691278067500932e-02 -2.7561295745687047e+00
1.5770645335671344e+14 2.1864128280604703e-02 -2.9006088512465520e+00
1.5800684660120241e+14 2.3978690589098777e-02 -3.0052767298415946e+00
1.5830723984569138e+14 2.6768179377747149e-02 -2.9623940693170665e+00
1.5860763309018038e+14 2.7201669740582479e-02 -2.8480732005909597e+00
1.5890802633466934e+14 2.4876830377462345e-02 -2.7640473800631922e+00
1.5920841957915831e+14 2.1950632479186265e-02 -2.7993774094809236e+00
1.5950881282364728e+14 2.1772653627784258e-02 -2.9293087125821655e+00
1.5980920606813628e+14 2.4614436491015836e-02 -2.9710669741567126e+00
1.6010959931262525e+14 2.7198742557312458e-02 -2.8751133384186001e+00
1.6040999255711422e+14 2.6958443457896084e-02 -2.7197108713332505e+00
1.6071038580160322e+14 2.3567464364220511e-02 -2.5998411032843824e+00
1.6101077904609219e+14 1.9152141715613129e-02 -2.6319766383043914e+00
1.6131117229058116e+14 1.7914865412636805e-02 -2.8459298935628810e+00
1.6161156553507012e+14 2.1092904178728760e-02 -2.9636943983625539e+00
1.6191195877955912e+14 2.4660377445132487e-02 -2.8801723408579414e+00
1.6221235202404809e+14 2.5428088758114347e-02 -2.7070382807674007e+00
1.6251274526853706e+14 2.2709326268869703e-02 -2.5501435542603614e+00
1.6281313851302606e+14 1.8126881676436842e-02 -2.5297560201215856e+00
1.6311353175751503e+14 1.5736373166526790e-02 -2.7442935205761469e+00
1.6341392500200400e+14 1.8305377392145120e-02 -2.9342115167602292e+00
1.6371431824649300e+14 2.2379222308272353e-02 -2.8860473947851930e+00
1.6401471149098197e+14 2.4290684988104567e-02 -2.7125359708866732e+00
1.6431510473547094e+14 2.2868221707236815e-02 -2.5239840947162580e+00
1.6461549797995991e+14 1.8926086772091774e-02 -2.4165538468683159e+00
1.6491589122444891e+14 1.5150731052617935e-02 -2.5045031374736899e+00
1.6521628446893788e+14 1.4952033967466565e-02 -2.7319643263904170e+00
1.6551667771342684e+14 1.7662561231133085e-02 -2.8016496705243856e+00
1.6581707095791584e+14 1.9803553235134438e-02 -2.7043399762330282e+00
1.6611746420240481e+14 1.9671545207120372e-02 -2.5590561732389348e+00
1.6641785744689378e+14 1.7529953482225285e-02 -2.4617104681503212e+00
1.6671825069138275e+14 1.5096446027464254e-02 -2.4900407140291576e+00
1.6701864393587175e+14 1.4495610108645137e-02 -2.6178487171536124e+00
1.6731903718036072e+14 1.5792688537168545e-02 -2.6790649046725763e+00
1.6761943042484969e+14 1.7065484781087572e-02 -2.6249056454050224e+00
1.6791982366933869e+14 1.7025622354829680e-02 -2.5261512710993554e+00
1.6822021691382766e+14 1.5772444055638563e-02 -2.4593055052628134e+00
1.6852061015831662e+14 1.4410116390849520e-02 -2.4704937138889149e+00
1.6882100340280562e+14 1.4045233504765872e-02 -2.5264897318848210e+00
1.6912139664729459e+14 1.4511639554036683e-02 -2.5390160278376368e+00
1.6942178989178356e+14 1.4710899995822740e-02 -2.4893328231756811e+00
1.6972218313627256e+14 1.4003719883564480e-02 -2.4307598641420194e+00
1.7002257638076153e+14 1.2778746131264554e-02 -2.4302419563007738e+00
1.7032296962525050e+14 1.2155647507020372e-02 -2.5066394923623379e+00
1.7062336286973947e+14 1.2757682484689588e-02 -2.5722654808255987e+00
1.7092375611422847e+14 1.3803223263574204e-02 -2.5463181806911726e+00
1.7122414935871744e+14 1.4140452608443030e-02 -2.4520522821908144e+00
1.7152454260320641e+14 1.3315653709146624e-02 -2.3556702817849673e+00
1.7182493584769538e+14 1.1793017296031841e-02 -2.3277419211136952e+00
1.7212532909218438e+14 1.0732960311185031e-02 -2.4043655240833082e+00
1.7242572233667334e+14 1.0978956549871194e-02 -2.5021781483200725e+00
1.7272611558116231e+14 1.1935331976152980e-02 -2.5076844941145149e+00
1.7302650882565131e+14 1.2443406603388159e-02 -2.4302587349551414e+00
1.7332690207014028e+14 1.1969071493182114e-02 -2.3375302084377645e+00
1.7362729531462925e+14 1.0806893562977711e-02 -2.2979751362632803e+00
1.7392768855911825e+14 9.8523148949181769e-03 -2.3497445792551499e+00
1.7422808180360722e+14 9.8574988400310648e-03 -2.4359930835479391e+00
1.7452847504809619e+14 1.0528572811052607e-02 -2.4549793514366809e+00
1.7482886829258519e+14 1.0984711897540937e-02 -2.3975571008916647e+00
1.7512926153707416e+14 1.0728326035103160e-02 -2.3179134730273923e+00
1.7542965478156312e+14 9.9006919972005510e-03 -2.2754588780995788e+00
1.7573004802605209e+14 9.1179559730335431e-03 -2.3056825198188333e+00
1.7603044127054109e+14 8.9792795437298508e-03 -2.3761731005062607e+00
1.7633083451503006e+14 9.4362622665722165e-03 -2.4066208740111561e+00
1.7663122775951903e+14 9.9185370811092476e-03 -2.3700632197592011e+00
1.7693162100400800e+14 9.9756345374102003e-03 -2.2969322970037793e+00
1.7723201424849700e+14 9.5310103859173653e-03 -2.2283368489930067e+00
1.7753240749298597e+14 8.8059477047238693e-03 -2.1966715602003406e+00
1.7783280073747494e+14 8.1470086593985157e-03 -2.2157720982419762e+00
1.7813319398196394e+14 7.8306652301466384e-03 -2.2699817806390175e+00
1.7843358722645291e+14 7.9187071605929093e-03 -2.3205956963375587e+00
