["E0",""]
["N0",""]
["N1",""]
["W0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.2292995864705826e-02 -3.0015201325335745e+00
1.5019662224448897e+14 3.0811416893951889e-02 -3.1428572454120305e+00
1.5049701548897797e+14 3.4634581385502926e-02 -3.2363462410733912e+00
1.5079740873346694e+14 3.9554565465201787e-02 -3.1728571522133215e+00
1.5109780197795591e+14 4.0774985136979823e-02 -3.0217054610835290e+00
1.5139819522244488e+14 3.6867890246120839e-02 -2.8841703203700821e+00
1.5169858846693388e+14 3.0444161416074696e-02 -2.8768122755195922e+00
1.5199898171142284e+14 2.7773561635833676e-02 -3.0535438977909553e+00
1.5229937495591181e+14 3.1701253978664308e-02 -3.1713444124279153e+00
1.5259976820040081e+14 3.6425676150883636e-02 -3.0932054886769569e+00
1.5290016144488978e+14 3.6727930433424753e-02 -2.9275218950708117e+00
1.5320055468937875e+14 3.1863935724022865e-02 -2.8009048875774507e+00
1.5350094793386775e+14 2.5651533003480907e-02 -2.8574894062528760e+00
1.5380134117835672e+14 2.5102514601752942e-02 -3.0908568491296982e+00
1.5410173442284569e+14 3.0336635391706883e-02 -3.1588843893327185e+00
1.5440212766733466e+14 3.4244468749559304e-02 -3.0310989503646328e+00
1.5470252091182366e+14 3.2939210372073008e-02 -2.8548400485718872e+00
1.5500291415631262e+14 2.7203953965867389e-02 -2.7720678230461937e+00
1.5530330740080159e+14 2.2549350924143355e-02 -2.9334198631466259e+00
1.5560370064529059e+14 2.5256055598716975e-02 -3.1580210286293817e+00
1.5590409388977956e+14 3.1385974342756966e-02 -3.1286088914780441e+00
1.5620448713426853e+14 3.4329203067422889e-02 -2.9475158073923331e+00
1.5650488037875750e+14 3.1887892762701146e-02 -2.7530799662858221e+00
1.5680527362324650e+14 2.5773675676358226e-02 -2.6688430169359170e+00
1.5710566686773547e+14 2.1179327869228676e-02 -2.8142465168717155e+00
1.5740606011222444e+14 2.2575102703766246e-02 -3.0145297347101216e+00
1.5770645335671344e+14 2.6238978485373935e-02 -3.0116498094424204e+00
1.5800684660120241e+14 2.7364484010144470e-02 -2.9016382126129407e+00
1.5830723984569138e+14 2.5457878561040443e-02 -2.8254537945205711e+00
1.5860763309018038e+14 2.3426855891451059e-02 -2.8639465793310968e+00
1.5890802633466934e+14 2.4226549408148584e-02 -2.9358105122336489e+00
1.5920841957915831e+14 2.6381189940540870e-02 -2.8981095452599304e+00
1.5950881282364728e+14 2.6436218035742611e-02 -2.7770012997709870e+00
1.5980920606813628e+14 2.3346409876170680e-02 -2.6898041491782152e+00
1.6010959931262525e+14 1.9846222584836214e-02 -2.7748108657292319e+00
1.6040999255711422e+14 2.0808448115670567e-02 -2.9686069061733953e+00
1.6071038580160322e+14 2.5358730818595861e-02 -2.9714367876005694e+00
1.6101077904609219e+14 2.8181670492208773e-02 -2.7963315336667023e+00
1.6131117229058116e+14 2.6339080506952248e-02 -2.5736321197587229e+00
1.6161156553507012e+14 2.0240441782283156e-02 -2.4445499490186391e+00
1.6191195877955912e+14 1.4593904274242765e-02 -2.6643063787460428e+00
1.6221235202404809e+14 1.7139947145689321e-02 -3.0512210850210408e+00
1.6251274526853706e+14 2.3650335199563763e-02 -3.0224175066829901e+00
1.6281313851302606e+14 2.7066120107325738e-02 -2.7948730415462930e+00
1.6311353175751503e+14 2.5306103932961659e-02 -2.5446698522053097e+00
1.6341392500200400e+14 1.9560742871138147e-02 -2.4076212218443200e+00
1.6371431824649300e+14 1.4577447214848242e-02 -2.5947382850614469e+00
1.6401471149098197e+14 1.6462048869007161e-02 -2.9129766033853581e+00
1.6431510473547094e+14 2.1413820454955428e-02 -2.8873144559454502e+00
1.6461549797995991e+14 2.3697683737469249e-02 -2.6862592216229699e+00
1.6491589122444891e+14 2.1851082022883803e-02 -2.4750953837844598e+00
1.6521628446893788e+14 1.7305348956988247e-02 -2.3855821086613216e+00
1.6551667771342684e+14 1.3986399775277028e-02 -2.5541396957962768e+00
1.6581707095791584e+14 1.5274961222852726e-02 -2.7759909046993583e+00
1.6611746420240481e+14 1.8262261695881899e-02 -2.7616886643291396e+00
1.6641785744689378e+14 1.9413387954842931e-02 -2.6229123825642144e+00
1.6671825069138275e+14 1.8098017289199582e-02 -2.4943739754952770e+00
1.6701864393587175e+14 1.5734170175686818e-02 -2.4704323457180957e+00
1.6731903718036072e+14 1.4562531698695407e-02 -2.5627745089442868e+00
1.6761943042484969e+14 1.5260155700165545e-02 -2.6344986194541771e+00
1.6791982366933869e+14 1.6281849371642274e-02 -2.6066627993725766e+00
1.6822021691382766e+14 1.6366130496258458e-02 -2.5321651860116563e+00
1.6852061015831662e+14 1.5558179579560969e-02 -2.4763067977023812e+00
1.6882100340280562e+14 1.4618503781387756e-02 -2.4653675532077775e+00
1.6912139664729459e+14 1.4066121377989155e-02 -2.4771475373451719e+00
1.6942178989178356e+14 1.3747216755025316e-02 -2.4821341662268663e+00
1.6972218313627256e+14 1.3381280963403679e-02 -2.4854879089505064e+00
1.7002257638076153e+14 1.3096376698007055e-02 -2.5032191771172658e+00
