["N0",""]
["N1",""]
["W0",""]
["E0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.6632482876104218e-02 -3.0785563737490529e+00
1.5019662224448897e+14 3.6513768246111876e-02 -3.0573436125018278e+00
1.5049701548897797e+14 3.6165307325003886e-02 -3.0322486373115396e+00
1.5079740873346694e+14 3.5554372957241925e-02 -3.0060492595070953e+00
1.5109780197795591e+14 3.4693452611789251e-02 -2.9817535435022737e+00
1.5139819522244488e+14 3.3638366920881554e-02 -2.9622708736158572e+00
1.5169858846693388e+14 3.2481047488617083e-02 -2.9500183334294832e+00
1.5199898171142284e+14 3.1336328663432736e-02 -2.9464183286904588e+00
1.5229937495591181e+14 3.0322243752339540e-02 -2.9513527140425366e+00
1.5259976820040081e+14 2.9535366469520812e-02 -2.9628166910566907e+00
1.5290016144488978e+14 2.9026830342901804e-02 -2.9771251459072503e+00
1.5320055468937875e+14 2.8788121199941827e-02 -2.9898338815272751e+00
1.5350094793386775e+14 2.8753896413320081e-02 -2.9970518828757133e+00
1.5380134117835672e+14 2.8821125019517255e-02 -2.9964948415656028e+00
1.5410173442284569e+14 2.8876069058226355e-02 -2.9878506550654769e+00
1.5440212766733466e+14 2.8819371151518624e-02 -2.9725266545786919e+00
1.5470252091182366e+14 2.8583758064871592e-02 -2.9531151919093261e+00
1.5500291415631262e+14 2.8143477937660678e-02 -2.9328449108311245e+00
1.5530330740080159e+14 2.7516681122083761e-02 -2.9150962085075864e+00
1.5560370064529059e+14 2.6761830057600897e-02 -2.9029255460156755e+00
1.5590409388977956e+14 2.5968212992998597e-02 -2.8985126563252455e+00
1.5620448713426853e+14 2.5239976834656768e-02 -2.9025269514890915e+00
1.5650488037875750e+14 2.4674014767446534e-02 -2.9136030932046122e+00
1.5680527362324650e+14 2.4335384428432902e-02 -2.9283140826730181e+00
1.5710566686773547e+14 2.4238281508916184e-02 -2.9419583716383588e+00
1.5740606011222444e+14 2.4341341062614832e-02 -2.9499776282725358e+00
1.5770645335671344e+14 2.4559924590852922e-02 -2.9492980010884824e+00
1.5800684660120241e+14 2.4789283850531328e-02 -2.9389583434308229e+00
1.5830723984569138e+14 2.4928841133902997e-02 -2.9199655536604845e+00
1.5860763309018038e+14 2.4900837444479882e-02 -2.8947463624744079e+00
1.5890802633466934e+14 2.4661499562046895e-02 -2.8665615281478245e+00
1.5920841957915831e+14 2.4205733544538845e-02 -2.8390329988565437e+00
1.5950881282364728e+14 2.3566791595091438e-02 -2.8157523860401672e+00
1.5980920606813628e+14 2.2811552792735987e-02 -2.7998576154246684e+00
1.6010959931262525e+14 2.2031022026551543e-02 -2.7934745393503526e+00
1.6040999255711422e+14 2.1325195816021453e-02 -2.7970355471183734e+00
1.6071038580160322e+14 2.0782607187440461e-02 -2.8087225275975545e+00
1.6101077904609219e+14 2.0458369721456617e-02 -2.8245065014395521e+00
1.6131117229058116e+14 2.0358682885486715e-02 -2.8391270643337272e+00
1.6161156553507012e+14 2.0439700771791212e-02 -2.8477192328159244e+00
1.6191195877955912e+14 2.0621832319121659e-02 -2.8472229322247173e+00
1.6221235202404809e+14 2.0812306370989984e-02 -2.8369099002089322e+00
1.6251274526853706e+14 2.0926671479417229e-02 -2.8180745560066343e+00
1.6281313851302606e+14 2.0903811069988482e-02 -2.7933569160632019e+00
1.6311353175751503e+14 2.0713706733081039e-02 -2.7660825267213891e+00
1.6341392500200400e+14 2.0359357092474512e-02 -2.7397435236581464e+00
1.6371431824649300e+14 1.9874267555519264e-02 -2.7175675834495103e+00
1.6401471149098197e+14 1.9316114496311525e-02 -2.7020722720711587e+00
1.6431510473547094e+14 1.8756532322557175e-02 -2.6945549762689551e+00
1.6461549797995991e+14 1.8267151790809590e-02 -2.6946088910567503e+00
1.6491589122444891e+14 1.7903539222873601e-02 -2.6999323331297087e+00
1.6521628446893788e+14 1.7691180645810135e-02 -2.7067421341015470e+00
1.6551667771342684e+14 1.7619011920734309e-02 -2.7108244880881207e+00
1.6581707095791584e+14 1.7643724307415676e-02 -2.7087907632980124e+00
1.6611746420240481e+14 1.7702916872848987e-02 -2.6989317568244378e+00
1.6641785744689378e+14 1.7731380676037453e-02 -2.6813902876438802e+00
