["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 1.2614023556242892e-04 3.1170206635171840e+00
1.8749545010187041e+14 1.1763432354236221e-04 3.5338841757522452e+00
1.8762061395374081e+14 1.1860798199248208e-04 3.9717813198159631e+00
1.8774577780561122e+14 1.2899668704841399e-04 4.3815662021085462e+00
1.8787094165748162e+14 1.4634303345684293e-04 4.7350162494543167e+00
1.8799610550935203e+14 1.6760295836257437e-04 5.0329959332551173e+00
1.8812126936122244e+14 1.9029921389087891e-04 5.2880830197684432e+00
1.8824643321309284e+14 2.1266184979514783e-04 5.5126937029798206e+00
1.8837159706496325e+14 2.3344245297582034e-04 5.7160736134062837e+00
1.8849676091683366e+14 2.5174034125392478e-04 5.9046043444962919e+00
1.8862192476870406e+14 2.6689379831489084e-04 6.0826581952832317e+00
1.8874708862057447e+14 2.7841877745135129e-04 6.2532967010084279e+00
1.8887225247244488e+14 2.8597504533725055e-04 6.4187470729118719e+00
1.8899741632431531e+14 2.8934709909145641e-04 6.5807164001753984e+00
1.8912258017618572e+14 2.8843281025328648e-04 6.7406050923839187e+00
1.8924774402805612e+14 2.8323605811850987e-04 6.8996645702055304e+00
1.8937290787992653e+14 2.7386150564231223e-04 7.0591322524324847e+00
1.8949807173179694e+14 2.6051086245054586e-04 7.2203729362876192e+00
1.8962323558366734e+14 2.4348096549435988e-04 7.3850612058863030e+00
1.8974839943553775e+14 2.2316525686993011e-04 7.5554594640990338e+00
1.8987356328740816e+14 2.0006251480384271e-04 7.7348942177366782e+00
1.8999872713927856e+14 1.7480177735760484e-04 7.9286428546496497e+00
1.9012389099114897e+14 1.4820505967917368e-04 8.1456888944028201e+00
1.9024905484301938e+14 1.2144281741918791e-04 8.4022883174057021e+00
1.9037421869488978e+14 9.6420052069554494e-05 8.7285173771764253e+00
1.9049938254676019e+14 7.6623582461108033e-05 9.1721771472006957e+00
1.9062454639863059e+14 6.7745616529416139e-05 9.7525294591142799e+00
1.9074971025050100e+14 7.3645184763430118e-05 1.0344215797332105e+01
