["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 8.7851978307879764e-03 -7.7898777513216333e-01
1.8749545010187041e+14 9.3990999197163128e-03 -6.9744462690528031e-01
1.8762061395374081e+14 9.9657628549409665e-03 -6.1505823919873404e-01
1.8774577780561122e+14 1.0482612312716747e-02 -5.3198796763181178e-01
1.8787094165748162e+14 1.0947398861948437e-02 -4.4833256320958192e-01
1.8799610550935203e+14 1.1358178028263064e-02 -3.6414687249583444e-01
1.8812126936122244e+14 1.1713291893612018e-02 -2.7945243192304414e-01
1.8824643321309284e+14 1.2011352395066408e-02 -1.9424426272387449e-01
1.8837159706496325e+14 1.2251226795612354e-02 -1.0849517468588440e-01
1.8849676091683366e+14 1.2432025927193455e-02 -2.2158328916781853e-02
1.8862192476870406e+14 1.2553095833695085e-02 6.4831520359988307e-02
1.8874708862057447e+14 1.2614013416465897e-02 1.5255789502391495e-01
1.8887225247244488e+14 1.2614586640154832e-02 2.4112351149638736e-01
1.8899741632431531e+14 1.2554859820765110e-02 3.3065230734728346e-01
1.8912258017618572e+14 1.2435124520691157e-02 4.2129275195321303e-01
1.8924774402805612e+14 1.2255936653963748e-02 5.1322275037730047e-01
1.8937290787992653e+14 1.2018140608415053e-02 6.0665662112910934e-01
1.8949807173179694e+14 1.1722901592953095e-02 7.0185486664083596e-01
1.8962323558366734e+14 1.1371748129802482e-02 7.9913780144405699e-01
1.8974839943553775e+14 1.0966627814914897e-02 8.9890461987659842e-01
1.8987356328740816e+14 1.0509981466473237e-02 1.0016602697164416e+00
1.8999872713927856e+14 1.0004844086106548e-02 1.1080536990153886e+00
1.9012389099114897e+14 9.4549865606194418e-03 1.2189328790242622e+00
1.9024905484301938e+14 8.8651212864813370e-03 1.3354247614484061e+00
1.9037421869488978e+14 8.2412105846223840e-03 1.4590522451683652e+00
1.9049938254676019e+14 7.5909433141802983e-03 1.5919049941855339e+00
1.9062454639863059e+14 6.9244888486757134e-03 1.7368838358677561e+00
1.9074971025050100e+14 6.2557035329083629e-03 1.8980282303103284e+00
1.9087487410237141e+14 5.6040371759385858e-03 2.0808752619855557e+00
1.9100003795424181e+14 4.9973519548479521e-03 2.2925807215923055e+00
1.9112520180611222e+14 4.4752788845482333e-03 2.5409489752856107e+00
1.9125036565798262e+14 4.0905047106732650e-03 2.8305927500939116e+00
1.9137552950985303e+14 3.9010851584007963e-03 3.1552097144870146e+00
1.9150069336172344e+14 3.9477921342335170e-03 3.4921197322895017e+00
1.9162585721359384e+14 4.2299922596582048e-03 3.8112903619577021e+00
1.9175102106546425e+14 4.7077618304452598e-03 4.0931850104205587e+00
1.9187618491733466e+14 5.3263779220215834e-03 4.3345882916477727e+00
1.9200134876920506e+14 6.0381596526040493e-03 4.5413873414444161e+00
1.9212651262107550e+14 6.8079709273986344e-03 4.7209706110974867e+00
1.9225167647294591e+14 7.6094142140489202e-03 4.8801492502903372e+00
1.9237684032481631e+14 8.4233882847430785e-03 5.0241166696234920e+00
1.9250200417668672e+14 9.2356706085749661e-03 5.1566382594544891e+00
1.9262716802855712e+14 1.0035294188220207e-02 5.2804073465319838e+00
1.9275233188042753e+14 1.0813530573231455e-02 5.3973549091626554e+00
1.9287749573229794e+14 1.1563266658549022e-02 5.5088778047693641e+00
1.9300265958416834e+14 1.2278624318794019e-02 5.6159979050545008e+00
1.9312782343603875e+14 1.2954727541279489e-02 5.7194713015652994e+00
1.9325298728790916e+14 1.3587558851132232e-02 5.8198633421263342e+00
1.9337815113977956e+14 1.4173869542483404e-02 5.9176006865195419e+00
1.9350331499164997e+14 1.4711121789818983e-02 6.0130079288066689e+00
1.9362847884352038e+14 1.5197448811312594e-02 6.1063337951987871e+00
1.9375364269539078e+14 1.5631624157800849e-02 6.1977702386328835e+00
1.9387880654726119e+14 1.6013034234653643e-02 6.2874666462986113e+00
1.9400397039913159e+14 1.6341650099141125e-02 6.3755406532939078e+00
1.9412913425100200e+14 1.6617995861365534e-02 6.4620865786491475e+00
1.9425429810287241e+14 1.6843111917452143e-02 6.5471821810501076e+00
1.9437946195474281e+14 1.7018511918534464e-02 6.6308942143175349e+00
1.9450462580661322e+14 1.7146132925636829e-02 6.7132831110920712e+00
1.9462978965848362e+14 1.7228278679055384e-02 6.7944070142860191e+00
1.9475495351035403e+14 1.7267556357853545e-02 6.8743252951481661e+00
1.9488011736222444e+14 1.7266807640744709e-02 6.9531016352324411e+00
1.9500528121409484e+14 1.7229035310876103e-02 7.0308067019013913e+00
1.9513044506596525e+14 1.7157327069135388e-02 7.1075204105884913e+00
1.9525560891783569e+14 1.7054778617566897e-02 7.1833337410575151e+00
1.9538077276970609e+14 1.6924418420262391e-02 7.2583500596585946e+00
1.9550593662157650e+14 1.6769136808646910e-02 7.3326858959514212e+00
1.9563110047344691e+14 1.6591622232269357e-02 7.4064711307571738e+00
1.9575626432531731e+14 1.6394307426142674e-02 7.4798485736741283e+00
1.9588142817718772e+14 1.6179328041022328e-02 7.5529729399618182e+00
1.9600659202905812e+14 1.5948495849364266e-02 7.6260092764717218e+00
1.9613175588092853e+14 1.5703288005450323e-02 7.6991309293857757e+00
1.9625691973279894e+14 1.5444853038510708e-02 7.7725171872423031e+00
1.9638208358466934e+14 1.5174635151777787e-02 7.8461040274085398e+00
1.9650724743653975e+14 1.4892452550709220e-02 7.9202131323761815e+00
1.9663241128841016e+14 1.4598343638088547e-02 7.9951269974844292e+00
1.9675757514028056e+14 1.4292498869301059e-02 8.0710285417609793e+00
1.9688273899215097e+14 1.3975025772967116e-02 8.1480965366005194e+00
1.9700790284402138e+14 1.3646023214664640e-02 8.2265049632497433e+00
1.9713306669589178e+14 1.3305656244559332e-02 8.3064230674813526e+00
1.9725823054776219e+14 1.2954228248302425e-02 8.3880161081555116e+00
1.9738339439963259e+14 1.2592247555153171e-02 8.4714467417214649e+00
1.9750855825150300e+14 1.2220486220653984e-02 8.5568769302702705e+00
1.9763372210337341e+14 1.1840029323406977e-02 8.6444702043951143e+00
