["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 8.4802049160070270e-03 -9.0724148549953143e-01
1.8749545010187041e+14 8.3071495727035528e-03 -5.9425723254331209e-01
1.8762061395374081e+14 8.0618098662126794e-03 -2.8487433506976223e-01
1.8774577780561122e+14 7.7404968265907875e-03 2.2847498078294427e-02
1.8787094165748162e+14 7.3467989373515036e-03 3.3120907618502121e-01
1.8799610550935203e+14 6.8913353286655481e-03 6.4292349755493872e-01
1.8812126936122244e+14 6.3913193618920661e-03 9.6119472036966191e-01
1.8824643321309284e+14 5.8700298019376202e-03 1.2897506847412421e+00
1.8837159706496325e+14 5.3561643163374953e-03 1.6326777547509035e+00
1.8849676091683366e+14 4.8827574110463191e-03 1.9937716342964313e+00
1.8862192476870406e+14 4.4848117099998601e-03 2.3750437367651278e+00
1.8874708862057447e+14 4.1943340610425452e-03 2.7744025087072348e+00
1.8887225247244488e+14 4.0323692590726479e-03 3.1838472852496786e+00
1.8899741632431531e+14 4.0011227845478670e-03 3.5907285070737323e+00
1.8912258017618572e+14 4.0822615993695438e-03 3.9826303359597186e+00
1.8924774402805612e+14 4.2436920738691004e-03 4.3521416551354015e+00
1.8937290787992653e+14 4.4496400894774172e-03 4.6979194468237191e+00
1.8949807173179694e+14 4.6678235751463426e-03 5.0227751583889777e+00
1.8962323558366734e+14 4.8722177909125697e-03 5.3313377387525271e+00
1.8974839943553775e+14 5.0431278534303608e-03 5.6285682107046089e+00
1.8987356328740816e+14 5.1664210072573553e-03 5.9191204849187269e+00
1.8999872713927856e+14 5.2328873743527158e-03 6.2071932162460408e+00
1.9012389099114897e+14 5.2380257601307278e-03 6.4965984235282850e+00
1.9024905484301938e+14 5.1822310684103120e-03 6.7908963256588386e+00
1.9037421869488978e+14 5.0712366865242739e-03 7.0935108941627849e+00
1.9049938254676019e+14 4.9166051236725168e-03 7.4077492324826322e+00
1.9062454639863059e+14 4.7359746934490677e-03 7.7366183031760087e+00
1.9074971025050100e+14 4.5526000847698955e-03 8.0822982811660484e+00
1.9087487410237141e+14 4.3934930711405770e-03 8.4451833765807027e+00
1.9100003795424181e+14 4.2854481982124160e-03 8.8227001359806447e+00
1.9112520180611222e+14 4.2490372170914809e-03 9.2086815541263984e+00
1.9125036565798262e+14 4.2925332783408376e-03 9.5943172414778530e+00
1.9137552950985303e+14 4.4091414082650980e-03 9.9707071610822524e+00
1.9150069336172344e+14 4.5794111309615040e-03 1.0331457796846516e+01
1.9162585721359384e+14 4.7771437962883254e-03 1.0673710374532746e+01
1.9175102106546425e+14 4.9754178987513418e-03 1.0997554581168858e+01
1.9187618491733466e+14 5.1511412490674912e-03 1.1305145153905297e+01
1.9200134876920506e+14 5.2880132557564493e-03 1.1599152626884013e+01
1.9212651262107550e+14 5.3727312889249807e-03 1.1881605423479510e+01
1.9225167647294591e+14 5.3971836448908385e-03 1.2155131084482996e+01
1.9237684032481631e+14 5.3578836765950412e-03 1.2422290187412933e+01
1.9250200417668672e+14 5.2552578216475800e-03 1.2685622373273704e+01
1.9262716802855712e+14 5.0929532017162009e-03 1.2947742066327931e+01
1.9275233188042753e+14 4.8772790845776452e-03 1.3211455959086887e+01
1.9287749573229794e+14 4.6168688424925086e-03 1.3479888372527483e+01
1.9300265958416834e+14 4.3226185376112006e-03 1.3756598673982570e+01
1.9312782343603875e+14 4.0079074494047502e-03 1.4045649540319685e+01
1.9325298728790916e+14 3.6890073986618542e-03 1.4351518042932039e+01
1.9337815113977956e+14 3.3853856877551214e-03 1.4678615246472150e+01
1.9350331499164997e+14 3.1192285322472948e-03 1.5030043340443475e+01
1.9362847884352038e+14 2.9130452535385733e-03 1.5405371528645706e+01
1.9375364269539078e+14 2.7843838857315581e-03 1.5798252900418879e+01
1.9387880654726119e+14 2.7388357411604379e-03 1.6196365157541447e+01
1.9400397039913159e+14 2.7658509593398934e-03 1.6585499603508730e+01
1.9412913425100200e+14 2.8413356357625198e-03 1.6955167715076151e+01
1.9425429810287241e+14 2.9351618812392933e-03 1.7301083557799704e+01
1.9437946195474281e+14 3.0183148954962690e-03 1.7623845046807627e+01
1.9450462580661322e+14 3.0669104642043650e-03 1.7926417135178031e+01
1.9462978965848362e+14 3.0635479245272753e-03 1.8212299713564455e+01
1.9475495351035403e+14 2.9973075495759987e-03 1.8484654135299188e+01
1.9488011736222444e+14 2.8632373963574454e-03 1.8746036125710880e+01
1.9500528121409484e+14 2.6616651780021808e-03 1.8998405021474824e+01
1.9513044506596525e+14 2.3974192472937229e-03 1.9243229332263404e+01
1.9525560891783569e+14 2.0789665788319279e-03 1.9481614697412834e+01
1.9538077276970609e+14 1.7174741476112224e-03 1.9714438305459161e+01
1.9550593662157650e+14 1.3258207871486990e-03 1.9942519965553526e+01
1.9563110047344691e+14 9.1760851136284366e-04 2.0166990804694972e+01
1.9575626432531731e+14 5.0624058917260960e-04 2.0391022127283271e+01
1.9588142817718772e+14 1.0426195802437399e-04 2.0658816132146804e+01
1.9600659202905812e+14 2.7823179121624810e-04 1.7634619700824185e+01
1.9613175588092853e+14 6.3152462676564975e-04 1.7856926333334105e+01
1.9625691973279894e+14 9.4928537292176792e-04 1.8067189239154004e+01
1.9638208358466934e+14 1.2288122755039937e-03 1.8276187993186806e+01
1.9650724743653975e+14 1.4662495950607927e-03 1.8484853170220212e+01
1.9663241128841016e+14 1.6584185388028587e-03 1.8695321689804768e+01
1.9675757514028056e+14 1.8036512302213191e-03 1.8910305633962587e+01
1.9688273899215097e+14 1.9009269248599335e-03 1.9132785321200046e+01
1.9700790284402138e+14 1.9500441255250994e-03 1.9366273097104493e+01
1.9713306669589178e+14 1.9522231902801620e-03 1.9615109449991969e+01
1.9725823054776219e+14 1.9112311686999425e-03 1.9884861864376724e+01
1.9738339439963259e+14 1.8351221407236424e-03 2.0182758483318608e+01
1.9750855825150300e+14 1.7386264189728964e-03 2.0517709789915600e+01
1.9763372210337341e+14 1.6457261826430651e-03 2.0898510610388598e+01
1.9775888595524381e+14 1.5901129837313187e-03 2.1327642899123166e+01
1.9788404980711422e+14 1.6081918045683420e-03 2.1791119274396312e+01
1.9800921365898462e+14 1.7223682613602077e-03 2.2257024029869093e+01
1.9813437751085503e+14 1.9279618311645597e-03 2.2694046324939919e+01
1.9825954136272544e+14 2.1986163576631552e-03 2.3089167858850427e+01
1.9838470521459588e+14 2.5008732368564284e-03 2.3445238115901930e+01
1.9850986906646628e+14 2.8033821091387984e-03 2.3770822069196377e+01
1.9863503291833669e+14 3.0796728738192980e-03 2.4074282602565230e+01
1.9876019677020709e+14 3.3083562715254030e-03 2.4362135007472986e+01
1.9888536062207750e+14 3.4728801916550766e-03 2.4639126919973460e+01
1.9901052447394791e+14 3.5613750346334154e-03 2.4908713032100756e+01
1.9913568832581831e+14 3.5665776562258454e-03 2.5173511383556697e+01
1.9926085217768872e+14 3.4857317770005673e-03 2.5435673449353882e+01
1.9938601602955912e+14 3.3203908505802125e-03 2.5697201054946063e+01
1.9951117988142953e+14 3.0760969562467020e-03 2.5960277885983000e+01
1.9963634373329994e+14 2.7619582815389724e-03 2.6227728407789389e+01
1.9976150758517034e+14 2.3902098861298634e-03 2.6503840644594835e+01
1.9988667143704075e+14 1.9759689817147939e-03 2.6796166506249591e+01
2.0001183528891116e+14 1.5377915734854409e-03 2.7120191523060679e+01
2.0013699914078156e+14 1.1012915737070703e-03 2.7513684074141072e+01
2.0026216299265197e+14 7.1654673423875539e-04 2.8085216692521172e+01
2.0038732684452238e+14 5.2518087840328293e-04 2.9048147621571125e+01
2.0051249069639278e+14 6.7773904526484071e-04 3.0019292229667279e+01
2.0063765454826319e+14 9.9253595282968094e-04 3.0604070182191304e+01
2.0076281840013359e+14 1.3236186682745094e-03 3.1015359297504677e+01
2.0088798225200400e+14 1.6312909719291137e-03 3.1364035077510955e+01
2.0101314610387441e+14 1.8991212397584871e-03 3.1687806819065305e+01
2.0113830995574481e+14 2.1231217442827608e-03 3.2003715356314849e+01
2.0126347380761522e+14 2.3052861002290695e-03 3.2320438455681582e+01
2.0138863765948562e+14 2.4522252200213212e-03 3.2642866052473956e+01
2.0151380151135606e+14 2.5743350824950144e-03 3.2973517369549810e+01
2.0163896536322647e+14 2.6846226827892520e-03 3.3312826020047979e+01
2.0176412921509688e+14 2.7968087927491706e-03 3.3659104994336687e+01
2.0188929306696728e+14 2.9227569290694311e-03 3.4008719699481425e+01
2.0201445691883769e+14 3.0698311741535330e-03 3.4356784980594789e+01
2.0213962077070809e+14 3.2391481724842238e-03 3.4698295288415011e+01
2.0226478462257850e+14 3.4254388299873799e-03 3.5029208446743347e+01
2.0238994847444891e+14 3.6184703853750955e-03 3.5347015533469651e+01
2.0251511232631931e+14 3.8053376164935678e-03 3.5650710409446191e+01
2.0264027617818972e+14 3.9728391002388222e-03 3.5940406412961210e+01
2.0276544003006012e+14 4.1094443198856001e-03 3.6216899247821900e+01
2.0289060388193053e+14 4.2066673242507130e-03 3.6481350809508371e+01
2.0301576773380094e+14 4.2598268672957755e-03 3.6735141923615316e+01
2.0314093158567134e+14 4.2682206305984629e-03 3.6979877118236445e+01
2.0326609543754175e+14 4.2347533909312517e-03 3.7217505498873280e+01
2.0339125928941216e+14 4.1650955479400186e-03 3.7450517809071805e+01
2.0351642314128256e+14 4.0665384942694810e-03 3.7682173450428017e+01
2.0364158699315297e+14 3.9468559539680599e-03 3.7916701137788635e+01
2.0376675084502338e+14 3.8136341800721384e-03 3.8159410541448601e+01
2.0389191469689378e+14 3.6746101525505278e-03 3.8416648924285866e+01
2.0401707854876419e+14 3.5394359000631460e-03 3.8695500526006036e+01
2.0414224240063459e+14 3.4228301027606879e-03 3.9002983325718859e+01
2.0426740625250500e+14 3.3480815220441416e-03 3.9344252650345737e+01
2.0439257010437541e+14 3.3481812647146452e-03 3.9719431925605399e+01
2.0451773395624581e+14 3.4605395885477105e-03 4.0120295278316306e+01
2.0464289780811625e+14 3.7141191275092455e-03 4.0530748031029901e+01
2.0476806165998666e+14 4.1162705696177939e-03 4.0933439715961484e+01
2.0489322551185706e+14 4.6495625382514689e-03 4.1317272711112551e+01
2.0501838936372747e+14 5.2787786377261944e-03 4.1679264983239356e+01
2.0514355321559788e+14 5.9600479625210130e-03 4.2021700170305870e+01
2.0526871706746828e+14 6.6471117618507698e-03 4.2349016974709414e+01
2.0539388091933869e+14 7.2960070421169022e-03 4.2665575153116620e+01
2.0551904477120909e+14 7.8652011792229685e-03 4.2974878627939596e+01
2.0564420862307950e+14 8.3176069537053299e-03 4.3280114689820408e+01
2.0576937247494991e+14 8.6229395736769007e-03 4.3584057288939370e+01
2.0589453632682031e+14 8.7595669630216953e-03 4.3889295432688385e+01
2.0601970017869072e+14 8.7162716394396569e-03 4.4198489044921068e+01
2.0614486403056112e+14 8.4938757973409655e-03 4.4514653886030693e+01
2.0627002788243153e+14 8.1067505450922624e-03 4.4841489844657481e+01
2.0639519173430194e+14 7.5843136356287437e-03 4.5183743099433975e+01
