["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 8.4392306563939330e-03 -8.9957224334962271e-01
1.8749545010187041e+14 8.2656529204730121e-03 -5.8529869716942495e-01
1.8762061395374081e+14 8.0209340876793694e-03 -2.7465256981727770e-01
1.8774577780561122e+14 7.7014592516942383e-03 3.4327312964413333e-02
1.8787094165748162e+14 7.3109389120050786e-03 3.4396067062570496e-01
1.8799610550935203e+14 6.8601410997237884e-03 6.5696939123037412e-01
1.8812126936122244e+14 6.3664249080721252e-03 9.7654265770824999e-01
1.8824643321309284e+14 5.8531628783455841e-03 1.3063467102745461e+00
1.8837159706496325e+14 5.3490074475658405e-03 1.6503227082239604e+00
1.8849676091683366e+14 4.8866601062239239e-03 2.0119965468197627e+00
1.8862192476870406e+14 4.5003011574824229e-03 2.3929846714478047e+00
1.8874708862057447e+14 4.2205007333955815e-03 2.7908079667462045e+00
1.8887225247244488e+14 4.0664899028165294e-03 3.1973840344554807e+00
1.8899741632431531e+14 4.0390112519001729e-03 3.6005061042222413e+00
1.8912258017618572e+14 4.1193281779495355e-03 3.9885157330912366e+00
1.8924774402805612e+14 4.2760025493425984e-03 4.3546057996444834e+00
1.8937290787992653e+14 4.4743921494031476e-03 4.6976602759027424e+00
1.8949807173179694e+14 4.6832901964912127e-03 5.0204398404377431e+00
1.8962323558366734e+14 4.8774782407792691e-03 5.3274192765327966e+00
1.8974839943553775e+14 5.0378005495903665e-03 5.6234072180668324e+00
1.8987356328740816e+14 5.1504644481162260e-03 5.9129436170871834e+00
1.8999872713927856e+14 5.2064658690357405e-03 6.2001559065886394e+00
1.9012389099114897e+14 5.2014215480182813e-03 6.4888234465425896e+00
1.9024905484301938e+14 5.1357894421415222e-03 6.7825097760230602e+00
1.9037421869488978e+14 5.0153408890596350e-03 7.0846800562683496e+00
1.9049938254676019e+14 4.8516889054154803e-03 7.3987257038993715e+00
1.9062454639863059e+14 4.6625897825610368e-03 7.7277835713046432e+00
1.9074971025050100e+14 4.4715548092018453e-03 8.0741939045798432e+00
1.9087487410237141e+14 4.3060477569830408e-03 8.4384842488532659e+00
1.9100003795424181e+14 4.1934773421780291e-03 8.8180797620008917e+00
1.9112520180611222e+14 4.1549936478860877e-03 9.2065754189610107e+00
1.9125036565798262e+14 4.1991148138243338e-03 9.5947169067895004e+00
1.9137552950985303e+14 4.3188096046330197e-03 9.9731576929506911e+00
1.9150069336172344e+14 4.4940719105099830e-03 1.0335262906806495e+01
1.9162585721359384e+14 4.6981385902284383e-03 1.0678175452958612e+01
1.9175102106546425e+14 4.9037166705615332e-03 1.1002130466369191e+01
1.9187618491733466e+14 5.0875653023045326e-03 1.1309466226822378e+01
1.9200134876920506e+14 5.2333677987520281e-03 1.1603007675864106e+01
1.9212651262107550e+14 5.3278394220596832e-03 1.1884894808629976e+01
1.9225167647294591e+14 5.3628855585267617e-03 1.2157841685301593e+01
1.9237684032481631e+14 5.3349808607710417e-03 1.2424468722979551e+01
1.9250200417668672e+14 5.2444408176310917e-03 1.2687353779136753e+01
1.9262716802855712e+14 5.0947320026354086e-03 1.2949128744943618e+01
1.9275233188042753e+14 4.8919287207396956e-03 1.3212592997613934e+01
1.9287749573229794e+14 4.6443948741530672e-03 1.3480829168054200e+01
1.9300265958416834e+14 4.3627368725313613e-03 1.3757304472511359e+01
