["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 1.1715793576923060e-01 -3.0865477918647630e+00
1.8749545010187041e+14 1.1699456999221751e-01 -2.7510873914119518e+00
1.8762061395374081e+14 1.1683572139389745e-01 -2.4149844974045220e+00
1.8774577780561122e+14 1.1670975839418687e-01 -2.0783977099862274e+00
1.8787094165748162e+14 1.1663805068515812e-01 -1.7415534276787998e+00
1.8799610550935203e+14 1.1663269038461631e-01 -1.4047193159110971e+00
1.8812126936122244e+14 1.1669536458387399e-01 -1.0681721704897968e+00
1.8824643321309284e+14 1.1681751779673925e-01 -7.3216464084876065e-01
1.8837159706496325e+14 1.1698175551518220e-01 -3.9689552734564548e-01
1.8849676091683366e+14 1.1716426551689599e-01 -6.2487590258876104e-02
1.8862192476870406e+14 1.1733790878541173e-01 2.7102472537305716e-01
1.8874708862057447e+14 1.1747557613817797e-01 6.0369702982179996e-01
1.8887225247244488e+14 1.1755341743121440e-01 9.3566710878294246e-01
1.8899741632431531e+14 1.1755360909086431e-01 1.2671393215745212e+00
1.8912258017618572e+14 1.1746640900892057e-01 1.5983635697535126e+00
1.8924774402805612e+14 1.1729133605045709e-01 1.9296110970837137e+00
1.8937290787992653e+14 1.1703739406287232e-01 2.2611491664868946e+00
1.8949807173179694e+14 1.1672233560188908e-01 2.5932164699461571e+00
1.8962323558366734e+14 1.1637103224019821e-01 2.9260010716779243e+00
1.8974839943553775e+14 1.1601309076668390e-01 3.2596227448855108e+00
1.8987356328740816e+14 1.1567992885384205e-01 3.5941216038225723e+00
1.8999872713927856e+14 1.1540159445879980e-01 3.9294547513801814e+00
1.9012389099114897e+14 1.1520366770409583e-01 4.2655020659488567e+00
1.9024905484301938e+14 1.1510460491130357e-01 4.6020811657846812e+00
1.9037421869488978e+14 1.1511385577392828e-01 4.9389701457052180e+00
1.9049938254676019e+14 1.1523099949773742e-01 5.2759352238555985e+00
1.9062454639863059e+14 1.1544601256662293e-01 5.6127594134236549e+00
1.9074971025050100e+14 1.1574062364378536e-01 5.9492681026337477e+00
1.9087487410237141e+14 1.1609056254641122e-01 6.2853480768504770e+00
1.9100003795424181e+14 1.1646839991136128e-01 6.6209578271696223e+00
1.9112520180611222e+14 1.1684661902451961e-01 6.9561285387385157e+00
1.9125036565798262e+14 1.1720056199610664e-01 7.2909565163209207e+00
1.9137552950985303e+14 1.1751093705435348e-01 7.6255887248481722e+00
1.9150069336172344e+14 1.1776564506393120e-01 7.9602035575095469e+00
1.9162585721359384e+14 1.1796076620571334e-01 8.2949890174572438e+00
1.9175102106546425e+14 1.1810063254881788e-01 8.6301203975650775e+00
1.9187618491733466e+14 1.1819746488812842e-01 8.9657297304546368e+00
1.9200134876920506e+14 1.1826850350794903e-01 9.3019129025531591e+00
1.9212651262107550e+14 1.1833453672748426e-01 9.6387224137415277e+00
1.9225167647294591e+14 1.1841857951168724e-01 9.9761142521649226e+00
1.9237684032481631e+14 1.1854145353999285e-01 1.0313972333068934e+01
1.9250200417668672e+14 1.1871898959122495e-01 1.0652119392746023e+01
1.9262716802855712e+14 1.1895983379699691e-01 1.0990335791801579e+01
1.9275233188042753e+14 1.1926415277262957e-01 1.1328383953552569e+01
1.9287749573229794e+14 1.1962341406589701e-01 1.1666035116110672e+01
1.9300265958416834e+14 1.2002126568477701e-01 1.2003094652474584e+01
1.9312782343603875e+14 1.2043538191211288e-01 1.2339422557662742e+01
1.9325298728790916e+14 1.2084001384839843e-01 1.2674946698334573e+01
1.9337815113977956e+14 1.2120890469557903e-01 1.3009667745663446e+01
1.9350331499164997e+14 1.2151820908931259e-01 1.3343655989495513e+01
1.9362847884352038e+14 1.2174908571593233e-01 1.3677041183812655e+01
1.9375364269539078e+14 1.2188969725839166e-01 1.4009997101349686e+01
1.9387880654726119e+14 1.2193643416409998e-01 1.4342722642989425e+01
1.9400397039913159e+14 1.2189426538039172e-01 1.4675421307331625e+01
1.9412913425100200e+14 1.2177620248316347e-01 1.5008280731838914e+01
1.9425429810287241e+14 1.2160194101349669e-01 1.5341453963218317e+01
1.9437946195474281e+14 1.2139581437328802e-01 1.5675044106721046e+01
1.9450462580661322e+14 1.2118426086587195e-01 1.6009093963595259e+01
1.9462978965848362e+14 1.2099305991031704e-01 1.6343582064318287e+01
1.9475495351035403e+14 1.2084463146405608e-01 1.6678426020735298e+01
1.9488011736222444e+14 1.2075570263158347e-01 1.7013493306969792e+01
1.9500528121409484e+14 1.2073561738960464e-01 1.7348618521074386e+01
1.9513044506596525e+14 1.2078549525488151e-01 1.7683625096548411e+01
1.9525560891783569e+14 1.2089833863943875e-01 1.8018348616553922e+01
1.9538077276970609e+14 1.2106006350449960e-01 1.8352658581776364e+01
1.9550593662157650e+14 1.2125130738928744e-01 1.8686475788561552e+01
1.9563110047344691e+14 1.2144977580590530e-01 1.9019783283205889e+01
1.9575626432531731e+14 1.2163283705450416e-01 1.9352629921148012e+01
1.9588142817718772e+14 1.2178006955093773e-01 1.9685126593768345e+01
1.9600659202905812e+14 1.2187549696369006e-01 2.0017435985402649e+01
1.9613175588092853e+14 1.2190930121919227e-01 2.0349757215838384e+01
1.9625691973279894e+14 1.2187886806187855e-01 2.0682306955380490e+01
1.9638208358466934e+14 1.2178997242261910e-01 2.1015274804919024e+01
1.9650724743653975e+14 1.2165256256400664e-01 2.1348874349189146e+01
1.9663241128841016e+14 1.2148450540811823e-01 2.1683268214179694e+01
1.9675757514028056e+14 1.2130858588304200e-01 2.2018546148138896e+01
1.9688273899215097e+14 1.2114939385004081e-01 2.2354724159102798e+01
1.9700790284402138e+14 1.2103057562746922e-01 2.2691740679061056e+01
1.9713306669589178e+14 1.2097210508246352e-01 2.3029461341636548e+01
1.9725823054776219e+14 1.2098790020878876e-01 2.3367692455174943e+01
1.9738339439963259e+14 1.2108409462642439e-01 2.3706201915288098e+01
1.9750855825150300e+14 1.2125820398608488e-01 2.4044744969849187e+01
1.9763372210337341e+14 1.2149931039800406e-01 2.4383091301818446e+01
1.9775888595524381e+14 1.2178924448921005e-01 2.4721049633950290e+01
1.9788404980711422e+14 1.2210460459227114e-01 2.5058486572492900e+01
1.9800921365898462e+14 1.2241934473307327e-01 2.5395337524845019e+01
1.9813437751085503e+14 1.2270760534053071e-01 2.5731608904252440e+01
1.9825954136272544e+14 1.2294645546911540e-01 2.6067372109193048e+01
1.9838470521459588e+14 1.2311825257390861e-01 2.6402750691427876e+01
1.9850986906646628e+14 1.2321238939057688e-01 2.6737902635614155e+01
1.9863503291833669e+14 1.2322627236021970e-01 2.7072999840938962e+01
1.9876019677020709e+14 1.2316545292605266e-01 2.7408206864454847e+01
