["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 1.1717903488628024e-01 -3.0871353152038554e+00
1.8749545010187041e+14 1.1701094375576107e-01 -2.7516826818367117e+00
1.8762061395374081e+14 1.1684675914004118e-01 -2.4155745605276508e+00
1.8774577780561122e+14 1.1671512764209963e-01 -2.0789682343499862e+00
1.8787094165748162e+14 1.1663775170715099e-01 -1.7420893411325051e+00
1.8799610550935203e+14 1.1662708716431106e-01 -1.4052055418397078e+00
1.8812126936122244e+14 1.1668518641509174e-01 -1.0685945027244492e+00
1.8824643321309284e+14 1.1680382988613092e-01 -7.3251062996133287e-01
1.8837159706496325e+14 1.1696590132003026e-01 -3.9715527040961979e-01
1.8849676091683366e+14 1.1714778714197702e-01 -6.2654339841553858e-02
1.8862192476870406e+14 1.1732245382753333e-01 2.7095417922994225e-01
1.8874708862057447e+14 1.1746279968530128e-01 6.0372221210122434e-01
1.8887225247244488e+14 1.1754488681369793e-01 9.3578392536575128e-01
1.8899741632431531e+14 1.1755071709531111e-01 1.2673403037754232e+00
1.8912258017618572e+14 1.1747029930222981e-01 1.5986382627331395e+00
1.8924774402805612e+14 1.1730284305015901e-01 1.9299465654599415e+00
1.8937290787992653e+14 1.1705699866998445e-01 2.2615306003009681e+00
1.8949807173179694e+14 1.1675013802759189e-01 2.5936278800251698e+00
1.8962323558366734e+14 1.1640674331673397e-01 2.9264260615515338e+00
1.8974839943553775e+14 1.1605604321004803e-01 3.2600453353487091e+00
1.8987356328740816e+14 1.1572910951073920e-01 3.5945270676004011e+00
1.8999872713927856e+14 1.1545569733033036e-01 3.9298303942151831e+00
1.9012389099114897e+14 1.1526116547542677e-01 4.2658378748264685e+00
1.9024905484301938e+14 1.1516383416154638e-01 4.6023702438336160e+00
1.9037421869488978e+14 1.1517310863195014e-01 4.9392088724931682e+00
1.9049938254676019e+14 1.1528861300138513e-01 5.2761231185717961e+00
1.9062454639863059e+14 1.1550044695547108e-01 5.6128987279308484e+00
1.9074971025050100e+14 1.1579052242373836e-01 5.9493632174452085e+00
1.9087487410237141e+14 1.1613479005770661e-01 6.2854048022462390e+00
1.9100003795424181e+14 1.1650605560136820e-01 6.6209827168468101e+00
1.9112520180611222e+14 1.1687703089242331e-01 6.9561283061920456e+00
1.9125036565798262e+14 1.1722326415050394e-01 7.2909376127274381e+00
1.9137552950985303e+14 1.1752563773858501e-01 7.6255571016828538e+00
1.9150069336172344e+14 1.1777219187240941e-01 7.9601646054463506e+00
1.9162585721359384e+14 1.1795911471331862e-01 8.2949476492700054e+00
1.9175102106546425e+14 1.1809082341458026e-01 8.6300812272626519e+00
1.9187618491733466e+14 1.1817961261183352e-01 8.9656972950899778e+00
1.9200134876920506e+14 1.1824279857671187e-01 9.3018918637969534e+00
1.9212651262107550e+14 1.1830126136944381e-01 9.6387176805818484e+00
1.9225167647294591e+14 1.1837813194592565e-01 9.9761309912103435e+00
1.9237684032481631e+14 1.1849437720248987e-01 1.0314015824377174e+01
1.9250200417668672e+14 1.1866600085973032e-01 1.0652194733474166e+01
1.9262716802855712e+14 1.1890184172864714e-01 1.0990447473377742e+01
1.9275233188042753e+14 1.1920226516569722e-01 1.1328535363639336e+01
1.9287749573229794e+14 1.1955892594595809e-01 1.1666228032585199e+01
1.9300265958416834e+14 1.1995562871028406e-01 1.2003328798588971e+01
1.9312782343603875e+14 1.2037015566507023e-01 1.2339695275699492e+01
1.9325298728790916e+14 1.2077680204029390e-01 1.2675252778220631e+01
1.9337815113977956e+14 1.2114928070480681e-01 1.3009999422298414e+01
1.9350331499164997e+14 1.2146363594608643e-01 1.3344003104307310e+01
1.9362847884352038e+14 1.2170083585528786e-01 1.3677391495578389e+01
1.9375364269539078e+14 1.2184877733017933e-01 1.4010336728309726e+01
1.9387880654726119e+14 1.2190352011483468e-01 1.4343036619749023e+01
1.9400397039913159e+14 1.2186965295501263e-01 1.4675694241825456e+01
1.9412913425100200e+14 1.2175977812162364e-01 1.5008497545803392e+01
1.9425429810287241e+14 1.2159317760072277e-01 1.5341600691624439e+01
1.9437946195474281e+14 1.2139379516146137e-01 1.5675108717159661e+01
1.9450462580661322e+14 1.2118773291140100e-01 1.6009067138263582e+01
1.9462978965848362e+14 1.2100051552639703e-01 1.6343457870557028e+01
1.9475495351035403e+14 1.2085441273803803e-01 1.6678202388468932e+01
1.9488011736222444e+14 1.2076612055769813e-01 1.7013172239809258e+01
1.9500528121409484e+14 1.2074507439903326e-01 1.7348205995331817e+01
1.9513044506596525e+14 1.2079259865976530e-01 1.7683130645539080e+01
1.9525560891783569e+14 1.2090199323360880e-01 1.8017784646338747e+01
1.9538077276970609e+14 1.2105953427292780e-01 1.8352039505615412e+01
1.9550593662157650e+14 1.2124624743066989e-01 1.8685817089584106e+01
1.9563110047344691e+14 1.2144021927822994e-01 1.9019100613535624e+01
1.9575626432531731e+14 1.2161916127138858e-01 1.9351938324280525e+01
1.9588142817718772e+14 1.2176293357658401e-01 1.9684439904245004e+01
1.9600659202905812e+14 1.2185576583709473e-01 2.0016766425861590e+01
1.9613175588092853e+14 1.2188796530068306e-01 2.0349115183927609e+01
1.9625691973279894e+14 1.2185696619116208e-01 2.0681700975076581e+01
1.9638208358466934e+14 1.2176852709355677e-01 2.1014711604340544e+01
1.9650724743653975e+14 1.2163252745218041e-01 2.1348359036105883e+01
1.9663241128841016e+14 1.2146673438908492e-01 2.1682804515808460e+01
1.9675757514028056e+14 1.2129382113805917e-01 2.2018136662500137e+01
1.9688273899215097e+14 1.2113827040907159e-01 2.2354370593366436e+01
1.9700790284402138e+14 1.2102363908233027e-01 2.2691444044539232e+01
1.9713306669589178e+14 1.2096983724931770e-01 2.3029222080166257e+01
1.9725823054776219e+14 1.2099074667714958e-01 2.3367510480524089e+01
1.9738339439963259e+14 1.2109248804459563e-01 2.3706076566124494e+01
1.9750855825150300e+14 1.2127257767996456e-01 2.4044674885946996e+01
1.9763372210337341e+14 1.2152009843607293e-01 2.4383074249336985e+01
1.9775888595524381e+14 1.2181686635762959e-01 2.4721082315459036e+01
1.9788404980711422e+14 1.2213943487897834e-01 2.5058564460982076e+01
1.9800921365898462e+14 1.2246167027519873e-01 2.5395454758419316e+01
1.9813437751085503e+14 1.2275757390247619e-01 2.5731758271487042e+01
1.9825954136272544e+14 1.2300402108647120e-01 2.6067545146712114e+01
1.9838470521459588e+14 1.2318312326240852e-01 2.6402937906909443e+01
1.9850986906646628e+14 1.2328398309140096e-01 2.6738093861476337e+01
1.9863503291833669e+14 1.2330368686160047e-01 2.7073184715394419e+01
1.9876019677020709e+14 1.2324745506473329e-01 2.7408375425746495e+01
1.9888536062207750e+14 1.2312794719855270e-01 2.7743804251661413e+01
1.9901052447394791e+14 1.2296379090846010e-01 2.8079565835971231e+01
1.9913568832581831e+14 1.2277747898010871e-01 2.8415699026544843e+01
1.9926085217768872e+14 1.2259284758421732e-01 2.8752180907339937e+01
1.9938601602955912e+14 1.2243240763493718e-01 2.9088928056177256e+01
1.9951117988142953e+14 1.2231483590772245e-01 2.9425805311333395e+01
1.9963634373329994e+14 1.2225293066872896e-01 2.9762641347019734e+01
1.9976150758517034e+14 1.2225228971636304e-01 3.0099249292380399e+01
1.9988667143704075e+14 1.2231087853369016e-01 3.0435449738696875e+01
2.0001183528891116e+14 1.2241953621606652e-01 3.0771093025249801e+01
2.0013699914078156e+14 1.2256333952239003e-01 3.1106077823426254e+01
2.0026216299265197e+14 1.2272363535127088e-01 3.1440363715357432e+01
2.0038732684452238e+14 1.2288047774284484e-01 3.1773976483327075e+01
2.0051249069639278e+14 1.2301517466620755e-01 3.2107005908613388e+01
2.0063765454826319e+14 1.2311265867031562e-01 3.2439596781617617e+01
2.0076281840013359e+14 1.2316361280786607e-01 3.2771932662188995e+01
2.0088798225200400e+14 1.2316664174079026e-01 3.3104199128186607e+01
2.0101314610387441e+14 1.2312349072832385e-01 3.3436632724028762e+01
2.0113830995574481e+14 1.2304660372975253e-01 3.3769430235827279e+01
2.0126347380761522e+14 1.2295492077635087e-01 3.4102747878903543e+01
2.0138863765948562e+14 1.2287195242468749e-01 3.4436683846073329e+01
2.0151380151135606e+14 1.2282320073925208e-01 3.4771266296742567e+01
2.0163896536322647e+14 1.2283316809258990e-01 3.5106448638779369e+01
2.0176412921509688e+14 1.2292226919736986e-01 3.5442113403326104e+01
2.0188929306696728e+14 1.2310400826752091e-01 3.5778085021242148e+01
2.0201445691883769e+14 1.2338278391390416e-01 3.6114150473684553e+01
2.0213962077070809e+14 1.2375262785718510e-01 3.6450085394284415e+01
2.0226478462257850e+14 1.2419707208454821e-01 3.6785682144037366e+01
2.0238994847444891e+14 1.2469019110805578e-01 3.7120776007445713e+01
2.0251511232631931e+14 1.2519871129531079e-01 3.7455266096416651e+01
2.0264027617818972e+14 1.2568494877466216e-01 3.7789128638400193e+01
2.0276544003006012e+14 1.2611025267071918e-01 3.8122421699631765e+01
2.0289060388193053e+14 1.2643859783384187e-01 3.8455281646689613e+01
2.0301576773380094e+14 1.2663998345925931e-01 3.8787912497938272e+01
2.0314093158567134e+14 1.2669333617584866e-01 3.9120569680360695e+01
2.0326609543754175e+14 1.2658867309860844e-01 3.9453539686611933e+01
2.0339125928941216e+14 1.2632834144093311e-01 3.9787116923250991e+01
2.0351642314128256e+14 1.2592721258974188e-01 4.0121578871314206e+01
2.0364158699315297e+14 1.2541177197604930e-01 4.0457160713050904e+01
2.0376675084502338e+14 1.2481811727950326e-01 4.0794030890575812e+01
2.0389191469689378e+14 1.2418896274483626e-01 4.1132269608625350e+01
2.0401707854876419e+14 1.2356984947983674e-01 4.1471852889844456e+01
2.0414224240063459e+14 1.2300487527380634e-01 4.1812645124835065e+01
2.0426740625250500e+14 1.2253236559751619e-01 4.2154402766421498e+01
2.0439257010437541e+14 1.2218098116196741e-01 4.2496790637224869e+01
2.0451773395624581e+14 1.2196676318298467e-01 4.2839410286570804e+01
2.0464289780811625e+14 1.2189153113465734e-01 4.3181837393219126e+01
2.0476806165998666e+14 1.2194286991908330e-01 4.3523663130660061e+01
2.0489322551185706e+14 1.2209570671555316e-01 4.3864533456688477e+01
2.0501838936372747e+14 1.2231523870975668e-01 4.4204180830155252e+01
2.0514355321559788e+14 1.2256078995327244e-01 4.4542444668145897e+01
2.0526871706746828e+14 1.2279122797170840e-01 4.4879275140822081e+01
2.0539388091933869e+14 1.2296632679672939e-01 4.5214731787397426e+01
2.0551904477120909e+14 1.2305057105822961e-01 4.5548986213408895e+01
2.0564420862307950e+14 1.2301973861785928e-01 4.5882285731343408e+01
2.0576937247494991e+14 1.2286102884558488e-01 4.6214930970348327e+01
2.0589453632682031e+14 1.2257390566722372e-01 4.6547248735813660e+01
2.0601970017869072e+14 1.2216987937716141e-01 4.6879564518488827e+01
2.0614486403056112e+14 1.2167130693667258e-01 4.7212175955862286e+01
2.0627002788243153e+14 1.2110933217232127e-01 4.7545328526122589e+01
2.0639519173430194e+14 1.2052112445541385e-01 4.7879194979585108e+01
2.0652035558617234e+14 1.1994661583283404e-01 4.8213860318295602e+01
2.0664551943804275e+14 1.1942498428834240e-01 4.8549314282710199e+01
2.0677068328991316e+14 1.1899117794386800e-01 4.8885453043904455e+01
2.0689584714178356e+14 1.1867280613564268e-01 4.9222090962603893e+01
2.0702101099365397e+14 1.1848771901178168e-01 4.9558981885115031e+01
2.0714617484552438e+14 1.1844254250334679e-01 4.9895847775551651e+01
2.0727133869739478e+14 1.1853232842839968e-01 5.0232411008864439e+01
2.0739650254926519e+14 1.1874133626126222e-01 5.0568425866836179e+01
2.0752166640113562e+14 1.1904481429492932e-01 5.0903704978101047e+01
2.0764683025300600e+14 1.1941152738475384e-01 5.1238137558632097e+01
2.0777199410487644e+14 1.1980671027693207e-01 5.1571697957124606e+01
2.0789715795674684e+14 1.2019511607738906e-01 5.1904444677210122e+01
2.0802232180861725e+14 1.2054386803792019e-01 5.2236511317014475e+01
2.0814748566048766e+14 1.2082488927169802e-01 5.2568091546427915e+01
2.0827264951235806e+14 1.2101675867312887e-01 5.2899420374086560e+01
2.0839781336422847e+14 1.2110590786926617e-01 5.3230753721091936e+01
2.0852297721609888e+14 1.2108712756558879e-01 5.3562347931237191e+01
2.0864814106796928e+14 1.2096339328204223e-01 5.3894440477967116e+01
2.0877330491983969e+14 1.2074505516200937e-01 5.4227232868986903e+01
2.0889846877171009e+14 1.2044846972991360e-01 5.4560876615331281e+01
2.0902363262358050e+14 1.2009418649293027e-01 5.4895463076449829e+01
2.0914879647545091e+14 1.1970483874576028e-01 5.5231017932225832e+01
2.0927396032732131e+14 1.1930292136567641e-01 5.5567500872643585e+01
2.0939912417919172e+14 1.1890866107873879e-01 5.5904810764921812e+01
2.0952428803106212e+14 1.1853818786257141e-01 5.6242796041238243e+01
2.0964945188293253e+14 1.1820219304609836e-01 5.6581269410160537e+01
2.0977461573480294e+14 1.1790792605176527e-01 5.6920030766754003e+01
2.0989977958667334e+14 1.1765121676470158e-01 5.7258861914249295e+01
2.1002494343854375e+14 1.1742353088959381e-01 5.7597575281658983e+01
2.1015010729041416e+14 1.1721290744434207e-01 5.7936018913933957e+01
2.1027527114228456e+14 1.1700483058042549e-01 5.8274082368304867e+01
