["E0",""]
["E1",""]
["W0",""]
["W1",""]
("E0","mode 1",1,"E0",1,"transmission")
(500, 3)
1.4989622900000000e+14 5.9840276059119339e-02 2.7004213310661993e+00
1.5019662224448897e+14 7.0189865003591881e-02 3.1584735344073249e+00
1.5049701548897797e+14 5.6680896589938239e-02 3.6549600589684652e+00
1.5079740873346694e+14 2.2654075997104315e-02 4.0222271556634244e+00
1.5109780197795591e+14 2.4050869490581196e-02 2.0591566446316354e+00
1.5139819522244488e+14 6.2237073473858269e-02 2.4639934745550960e+00
1.5169858846693388e+14 8.1018808541347326e-02 3.0278499989110284e+00
1.5199898171142284e+14 7.2657214034550346e-02 3.6247533343675755e+00
1.5229937495591181e+14 3.9177044635395550e-02 4.2573911954649830e+00
1.5259976820040081e+14 8.9767962976462518e-03 1.4255995181145957e+00
1.5290016144488978e+14 5.4544474219524096e-02 2.2680691442655037e+00
1.5320055468937875e+14 8.2218737082783669e-02 2.9338613127164170e+00
1.5350094793386775e+14 8.1815188584010823e-02 3.6262287478588644e+00
1.5380134117835672e+14 5.3791934958100321e-02 4.4355278128663764e+00
1.5410173442284569e+14 2.0685685126772105e-02 6.2219121899807162e+00
1.5440212766733466e+14 5.2780419644294869e-02 8.1351978146983157e+00
1.5470252091182366e+14 8.4086775113954196e-02 8.9964898345068853e+00
1.5500291415631262e+14 8.7857906475471939e-02 9.7751786951949740e+00
1.5530330740080159e+14 6.2631631470554963e-02 1.0644154661995280e+01
1.5560370064529059e+14 2.9381153684973689e-02 1.2222847468727052e+01
1.5590409388977956e+14 5.4877739318012979e-02 1.4181526714399430e+01
1.5620448713426853e+14 8.9772961376046706e-02 1.5139997882203540e+01
1.5650488037875750e+14 9.8572591855493052e-02 1.5964550359139233e+01
1.5680527362324650e+14 7.6967356582502325e-02 1.6855509208675102e+01
1.5710566686773547e+14 4.2046534979170082e-02 1.8222001999834863e+01
1.5740606011222444e+14 5.5108674058596104e-02 2.0195187697110541e+01
1.5770645335671344e+14 9.1680323942946146e-02 2.1300445636029821e+01
1.5800684660120241e+14 1.0471659797330685e-01 2.2189017640721715e+01
1.5830723984569138e+14 8.6372251142856279e-02 2.3119353143375779e+01
1.5860763309018038e+14 5.2525866923334774e-02 2.4428080293987698e+01
1.5890802633466934e+14 5.8462406528205071e-02 2.6303957655670789e+01
1.5920841957915831e+14 9.3455675602019977e-02 2.7500140373347879e+01
1.5950881282364728e+14 1.0808694037831035e-01 2.8426782375289910e+01
1.5980920606813628e+14 9.1909344752338723e-02 2.9361279313447906e+01
1.6010959931262525e+14 5.7970706517703134e-02 3.0585105503460461e+01
1.6040999255711422e+14 5.4315137562659876e-02 3.2414831990004494e+01
1.6071038580160322e+14 8.5666956676263048e-02 3.3704934084723831e+01
1.6101077904609219e+14 1.0239633376527031e-01 3.4657269377521658e+01
1.6131117229058116e+14 9.1357910254939417e-02 3.5589985996537379e+01
1.6161156553507012e+14 6.2069211865979954e-02 3.6751888448852824e+01
1.6191195877955912e+14 5.3243158542757775e-02 3.8465025433978710e+01
1.6221235202404809e+14 8.0458582086212010e-02 3.9832661479103777e+01
1.6251274526853706e+14 9.9479057681950520e-02 4.0826746808591295e+01
1.6281313851302606e+14 9.2862980313199936e-02 4.1776815192504280e+01
1.6311353175751503e+14 6.6308598041677755e-02 4.2914485289643622e+01
1.6341392500200400e+14 5.3173211818579091e-02 4.4567975899839858e+01
1.6371431824649300e+14 7.6476137716648379e-02 4.6018948721299402e+01
1.6401471149098197e+14 9.5883055146388604e-02 4.7060190014611820e+01
1.6431510473547094e+14 9.1458196051853249e-02 4.8024900712812723e+01
1.6461549797995991e+14 6.7410788719507980e-02 4.9130577365254638e+01
1.6491589122444891e+14 5.1073861442106280e-02 5.0680574153825518e+01
1.6521628446893788e+14 6.7342040701586614e-02 5.2166645848041306e+01
1.6551667771342684e+14 8.4901137127797857e-02 5.3230794773173095e+01
1.6581707095791584e+14 8.3134090256293744e-02 5.4186943257470794e+01
1.6611746420240481e+14 6.3362896743112879e-02 5.5257157979874648e+01
1.6641785744689378e+14 4.7167099156702454e-02 5.6754366027938971e+01
1.6671825069138275e+14 6.1379064622066153e-02 5.8285421820770424e+01
1.6701864393587175e+14 8.0986054805272656e-02 5.9382094434823330e+01
1.6731903718036072e+14 8.3310875388321368e-02 6.0351259211255204e+01
1.6761943042484969e+14 6.6636555532249703e-02 6.1405940890268120e+01
1.6791982366933869e+14 4.8353579769482284e-02 6.2828842340598314e+01
1.6822021691382766e+14 5.6950759968177514e-02 6.4414745255088647e+01
1.6852061015831662e+14 7.5234084194399600e-02 6.5577884849527564e+01
1.6882100340280562e+14 7.8796960591711124e-02 6.6572725621280412e+01
1.6912139664729459e+14 6.4636286807329982e-02 6.7625739351884988e+01
1.6942178989178356e+14 4.7586356539016779e-02 6.9000137411100667e+01
1.6972218313627256e+14 5.3495807193132378e-02 7.0565339100427110e+01
1.7002257638076153e+14 7.0526264946123657e-02 7.1746114749065498e+01
1.7032296962525050e+14 7.5396056839649214e-02 7.2742917361536783e+01
1.7062336286973947e+14 6.3245484296889740e-02 7.3778627155203424e+01
1.7092375611422847e+14 4.5622123059161378e-02 7.5113741917487530e+01
1.7122414935871744e+14 4.8409416478298668e-02 7.6729694501171664e+01
1.7152454260320641e+14 6.5205539015602790e-02 7.7968940361483476e+01
1.7182493584769538e+14 7.1626310207127300e-02 7.8989622901439077e+01
1.7212532909218438e+14 6.1548873085236100e-02 8.0028513790672733e+01
1.7242572233667334e+14 4.4789843943773743e-02 8.1327840546947016e+01
1.7272611558116231e+14 4.4638044028824667e-02 8.2924736740868468e+01
1.7302650882565131e+14 5.8550170652492212e-02 8.4194133113818054e+01
1.7332690207014028e+14 6.3994167624634904e-02 8.5223647374445292e+01
1.7362729531462925e+14 5.4407960305260704e-02 8.6254285984505685e+01
1.7392768855911825e+14 3.8065080477440706e-02 8.7547820403121051e+01
1.7422808180360722e+14 3.7267853022859100e-02 8.9200114803690127e+01
1.7452847504809619e+14 5.0746968536722878e-02 9.0480984804153238e+01
1.7482886829258519e+14 5.6603377198149146e-02 9.1490055340801163e+01
1.7512926153707416e+14 4.8445270017270670e-02 9.2479466565223390e+01
1.7542965478156312e+14 3.2426738492091128e-02 9.3696607168754937e+01
1.7573004802605209e+14 2.7970393828789832e-02 9.5389329070853847e+01
1.7603044127054109e+14 3.9030353873206788e-02 9.6739171755854713e+01
1.7633083451503006e+14 4.4888121892164998e-02 9.7744305164092637e+01
