["o1","LEFT"]
["o2","LEFT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 3.1637651423918628e-05 5.4195260948548063e-01
1.8749545010187041e+14 3.5082563771595394e-05 2.9857355276288383e-01
1.8762061395374081e+14 4.0557861224556729e-05 1.1389703454644490e-01
1.8774577780561122e+14 4.7382792950712844e-05 -1.6374518489483413e-02
1.8787094165748162e+14 5.5056634905852518e-05 -1.0556984585311215e-01
1.8799610550935203e+14 6.3255752428480690e-05 -1.6572338619496907e-01
1.8812126936122244e+14 7.1774092329937730e-05 -2.0549821475818536e-01
1.8824643321309284e+14 8.0475871675530914e-05 -2.3075397239791820e-01
1.8837159706496325e+14 8.9266739614745000e-05 -2.4542484348255372e-01
1.8849676091683366e+14 9.8077291811295102e-05 -2.5218657421831120e-01
1.8862192476870406e+14 1.0685366850282001e-04 -2.5289573286589118e-01
1.8874708862057447e+14 1.1555208787534480e-04 -2.4886863264561773e-01
1.8887225247244488e+14 1.2413558386668318e-04 -2.4105830621611649e-01
1.8899741632431531e+14 1.3257200722929875e-04 -2.3016826875066321e-01
1.8912258017618572e+14 1.4083277070294151e-04 -2.1672699967721670e-01
1.8924774402805612e+14 1.4889204497394801e-04 -2.0113768736239973e-01
1.8937290787992653e+14 1.5672623512191032e-04 -1.8371211635821846e-01
1.8949807173179694e+14 1.6431363602994174e-04 -1.6469419254052295e-01
1.8962323558366734e+14 1.7163420458312715e-04 -1.4427656575974335e-01
1.8974839943553775e+14 1.7866940959733305e-04 -1.2261256785390540e-01
1.8987356328740816e+14 1.8540213449398291e-04 -9.9824914579185284e-02
1.8999872713927856e+14 1.9181661627766153e-04 -7.6012134477200968e-02
1.9012389099114897e+14 1.9789840984573998e-04 -5.1253375833833555e-02
1.9024905484301938e+14 2.0363437020596789e-04 -2.5612038774027464e-02
1.9037421869488978e+14 2.0901264743062125e-04 8.6145526470813650e-04
1.9049938254676019e+14 2.1402269077142611e-04 2.8127536332789048e-02
1.9062454639863059e+14 2.1865525940218224e-04 5.6155842816215468e-02
1.9074971025050100e+14 2.2290243796297440e-04 8.4923947802160352e-02
1.9087487410237141e+14 2.2675765562917252e-04 1.1441637092023671e-01
1.9100003795424181e+14 2.3021570781560930e-04 1.4462381317596912e-01
1.9112520180611222e+14 2.3327277981187799e-04 1.7554256797981893e-01
1.9125036565798262e+14 2.3592647195298588e-04 2.0717407309396060e-01
1.9137552950985303e+14 2.3817582602339143e-04 2.3952457600325025e-01
1.9150069336172344e+14 2.4002135269085583e-04 2.7260489148134420e-01
1.9162585721359384e+14 2.4146505989543955e-04 3.0643023451955542e-01
1.9175102106546425e+14 2.4251048216000949e-04 3.4102011448031444e-01
1.9187618491733466e+14 2.4459332131740420e-04 3.7408398765845197e-01
1.9200134876920506e+14 2.4879385106412111e-04 4.0315916605279190e-01
1.9212651262107550e+14 2.5250021346775043e-04 4.3213252037205180e-01
1.9225167647294591e+14 2.5570734434077116e-04 4.6102341287146392e-01
1.9237684032481631e+14 2.5841134909880011e-04 4.8984812790946247e-01
1.9250200417668672e+14 2.6060950214264167e-04 5.1862034051700689e-01
1.9262716802855712e+14 2.6230024503702228e-04 5.4735149067746691e-01
1.9275233188042753e+14 2.6348318322440430e-04 5.7605108192331222e-01
1.9287749573229794e+14 2.6415908106232637e-04 6.0472691836329384e-01
1.9300265958416834e+14 2.6432985502646613e-04 6.3338529096032936e-01
1.9312782343603875e+14 2.6399856501600159e-04 6.6203112086896365e-01
1.9325298728790916e+14 2.6316940363502867e-04 6.9066806578108597e-01
1.9337815113977956e+14 2.6184768344657451e-04 7.1929859344499181e-01
1.9350331499164997e+14 2.6003982214382708e-04 7.4792402495383670e-01
1.9362847884352038e+14 2.5775332563054022e-04 7.7654454935518014e-01
1.9375364269539078e+14 2.5499676905289500e-04 8.0515920978278754e-01
1.9387880654726119e+14 2.5177977576958934e-04 8.3376586002635300e-01
1.9400397039913159e+14 2.4811299430980039e-04 8.6236108955925406e-01
1.9412913425100200e+14 2.4400807340292345e-04 8.9094011320653366e-01
1.9425429810287241e+14 2.3947763512530262e-04 9.1949662019886480e-01
1.9437946195474281e+14 2.3453524626305814e-04 9.4802257527896583e-01
1.9450462580661322e+14 2.2919538803574304e-04 9.7650796182176369e-01
1.9462978965848362e+14 2.2347342429635954e-04 1.0049404535285391e+00
1.9475495351035403e+14 2.1738556843027513e-04 1.0333049968434340e+00
1.9488011736222444e+14 2.1094884916624985e-04 1.0615832798119615e+00
1.9500528121409484e+14 2.0418107561421053e-04 1.0897530550787231e+00
1.9513044506596525e+14 1.9710080194390472e-04 1.1177872728437093e+00
1.9525560891783569e+14 1.8972729223154056e-04 1.1456529629478223e+00
1.9538077276970609e+14 1.8208048615930280e-04 1.1733097821909777e+00
1.9550593662157650e+14 1.7418096661687537e-04 1.2007081083776137e+00
1.9563110047344691e+14 1.6604993054511333e-04 1.2277865121513571e+00
1.9575626432531731e+14 1.5770916501310934e-04 1.2544683619271171e+00
1.9588142817718772e+14 1.4918103146917784e-04 1.2806572009275103e+00
1.9600659202905812e+14 1.4048846248456670e-04 1.3062303533698854e+00
1.9613175588092853e+14 1.3165497769251208e-04 1.3310299261566356e+00
1.9625691973279894e+14 1.2270472944029653e-04 1.3548498945802934e+00
1.9638208358466934e+14 1.1418592517430767e-04 1.3552854372735614e+00
1.9650724743653975e+14 1.0579188696950119e-04 1.3407629964747505e+00
1.9663241128841016e+14 9.7389452828728357e-05 1.3176603069145665e+00
1.9675757514028056e+14 8.9086614617034818e-05 1.2835599189524538e+00
1.9688273899215097e+14 8.1026714314606630e-05 1.2353101344334532e+00
1.9700790284402138e+14 7.3403686701201262e-05 1.1689433432137291e+00
1.9713306669589178e+14 6.6481015834963904e-05 1.0798727896434952e+00
1.9725823054776219e+14 6.0608211011389629e-05 9.6381823179397086e-01
1.9738339439963259e+14 5.6215728402224770e-05 8.1908223561431281e-01
1.9750855825150300e+14 5.3753831542689901e-05 6.5009947668983936e-01
1.9763372210337341e+14 5.3555995322368861e-05 4.6967868160027354e-01
1.9775888595524381e+14 5.5690715656097423e-05 2.9570743287654561e-01
1.9788404980711422e+14 5.9932100721986634e-05 1.4320939147871656e-01
1.9800921365898462e+14 6.5878618259115516e-05 1.9121585216049782e-02
1.9813437751085503e+14 7.3104088921819123e-05 -7.6777948200461243e-02
