["E0",""]
["W0",""]
("E0","mode 1",1,"E0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.5477590663137520e-02 -3.0544156859759282e+00
1.5019662224448897e+14 3.5027059303147152e-02 -3.0448295668990206e+00
1.5049701548897797e+14 3.4582001846845740e-02 -3.0352732672201510e+00
1.5079740873346694e+14 3.4142331268643585e-02 -3.0257200720884052e+00
1.5109780197795591e+14 3.3707589444629704e-02 -3.0161463839217335e+00
1.5139819522244488e+14 3.3277049769594058e-02 -3.0065360955467586e+00
1.5169858846693388e+14 3.2849866315776424e-02 -2.9968835473073328e+00
1.5199898171142284e+14 3.2425240647087322e-02 -2.9871945193485705e+00
1.5229937495591181e+14 3.2002574962549310e-02 -2.9774850826619872e+00
1.5259976820040081e+14 3.1581583684777301e-02 -2.9677785306495625e+00
1.5290016144488978e+14 3.1162344044190379e-02 -2.9581009632737030e+00
1.5320055468937875e+14 3.0745277905166592e-02 -2.9484763387508965e+00
1.5350094793386775e+14 3.0331069838297229e-02 -2.9389219047359099e+00
1.5380134117835672e+14 2.9920537989744339e-02 -2.9294448568485829e+00
1.5410173442284569e+14 2.9514482626770866e-02 -2.9200408557971635e+00
1.5440212766733466e+14 2.9113540902770116e-02 -2.9106946979839510e+00
1.5470252091182366e+14 2.8718074740447866e-02 -2.9013830341742755e+00
1.5500291415631262e+14 2.8328112087328043e-02 -2.8920786397962055e+00
1.5530330740080159e+14 2.7943351418195424e-02 -2.8827554367540578e+00
1.5560370064529059e+14 2.7563227264625078e-02 -2.8733933151526116e+00
1.5590409388977956e+14 2.7187023116178880e-02 -2.8639818380567275e+00
1.5620448713426853e+14 2.6814009473088013e-02 -2.8545221264794947e+00
1.5650488037875750e+14 2.6443580705509423e-02 -2.8450265694428754e+00
1.5680527362324650e+14 2.6075365311272431e-02 -2.8355164137422686e+00
1.5710566686773547e+14 2.5709289778268880e-02 -2.8260176811600588e+00
1.5740606011222444e+14 2.5345585326198010e-02 -2.8165561675413548e+00
1.5770645335671344e+14 2.4984737564244533e-02 -2.8071524478653607e+00
1.5800684660120241e+14 2.4627389595248187e-02 -2.7978178171400159e+00
1.5830723984569138e+14 2.4274217475602083e-02 -2.7885519360761073e+00
1.5860763309018038e+14 2.3925801739156080e-02 -2.7793426458528496e+00
1.5890802633466934e+14 2.3582519060733800e-02 -2.7701680162068931e+00
1.5920841957915831e+14 2.3244473999997441e-02 -2.7610002662013025e+00
1.5950881282364728e+14 2.2911482904150689e-02 -2.7518108300818818e+00
1.5980920606813628e+14 2.2583111980492399e-02 -2.7425756090024724e+00
1.6010959931262525e+14 2.2258761260497785e-02 -2.7332794049257232e+00
1.6040999255711422e+14 2.1937777687228543e-02 -2.7239186868410652e+00
1.6071038580160322e+14 2.1619575478027467e-02 -2.7145021586349110e+00
1.6101077904609219e+14 2.1303741107899718e-02 -2.7050490153799878e+00
1.6131117229058116e+14 2.0990103709159200e-02 -2.6955852076036280e+00
1.6161156553507012e+14 2.0678758573400204e-02 -2.6861384017967427e+00
1.6191195877955912e+14 2.0370040388029847e-02 -2.6767325675645903e+00
1.6221235202404809e+14 2.0064452177846467e-02 -2.6673831984000747e+00
1.6251274526853706e+14 1.9762563991656580e-02 -2.6580940704129588e+00
1.6281313851302606e+14 1.9464900760976834e-02 -2.6488561741294254e+00
1.6311353175751503e+14 1.9171840506117914e-02 -2.6396490588886290e+00
1.6341392500200400e+14 1.8883541846548113e-02 -2.6304443741649295e+00
1.6371431824649300e+14 1.8599913988073223e-02 -2.6212109632488145e+00
1.6401471149098197e+14 1.8320634114400606e-02 -2.6119205510018157e+00
1.6431510473547094e+14 1.8045208026391365e-02 -2.6025529386277952e+00
1.6461549797995991e+14 1.7773061749523502e-02 -2.5930997051570226e+00
1.6491589122444891e+14 1.7503646245845383e-02 -2.5835656995939278e+00
1.6521628446893788e+14 1.7236535328971583e-02 -2.5739680285310720e+00
1.6551667771342684e+14 1.6971498643684760e-02 -2.5643327155081610e+00
1.6581707095791584e+14 1.6708536646224802e-02 -2.5546896412988827e+00
1.6611746420240481e+14 1.6447871845175415e-02 -2.5450666935354551e+00
1.6641785744689378e+14 1.6189898745245911e-02 -2.5354842079541231e+00
1.6671825069138275e+14 1.5935102509422577e-02 -2.5259507465987574e+00
1.6701864393587175e+14 1.5683961993604896e-02 -2.5164610322679799e+00
1.6731903718036072e+14 1.5436855517097623e-02 -2.5069964740385542e+00
1.6761943042484969e+14 1.5193987010847705e-02 -2.4975282368239649e+00
1.6791982366933869e+14 1.4955346143346046e-02 -2.4880223157850820e+00
1.6822021691382766e+14 1.4720709414715566e-02 -2.4784456735047193e+00
1.6852061015831662e+14 1.4489681320936015e-02 -2.4687722728395092e+00
1.6882100340280562e+14 1.4261767091540119e-02 -2.4589878441928654e+00
1.6912139664729459e+14 1.4036462695300192e-02 -2.4490924632434852e+00
1.6942178989178356e+14 1.3813344879873492e-02 -2.4391004322975181e+00
1.6972218313627256e+14 1.3592144421802945e-02 -2.4290374677162290e+00
1.7002257638076153e+14 1.3372789293342147e-02 -2.4189356978042977e+00
1.7032296962525050e+14 1.3155410317821864e-02 -2.4088273808897629e+00
1.7062336286973947e+14 1.2940308942536257e-02 -2.3987384960647691e+00
1.7092375611422847e+14 1.2727893728852697e-02 -2.3886834007024227e+00
1.7122414935871744e+14 1.2518597827014475e-02 -2.3786615790021028e+00
1.7152454260320641e+14 1.2312793079686486e-02 -2.3686571438743056e+00
1.7182493584769538e+14 1.2110716870153087e-02 -2.3586412529671472e+00
1.7212532909218438e+14 1.1912425283045052e-02 -2.3485770440228406e+00
1.7242572233667334e+14 1.1717781029071405e-02 -2.3384261933552022e+00
1.7272611558116231e+14 1.1526477879456851e-02 -2.3281558625983352e+00
1.7302650882565131e+14 1.1338096390917310e-02 -2.3177447020827602e+00
1.7332690207014028e+14 1.1152179868327941e-02 -2.3071867492197935e+00
1.7362729531462925e+14 1.0968315936747741e-02 -2.2964924599562559e+00
1.7392768855911825e+14 1.0786208394099703e-02 -2.2856866539390759e+00
1.7422808180360722e+14 1.0605726198577942e-02 -2.2748037295832737e+00
1.7452847504809619e+14 1.0426920972878338e-02 -2.2638810081894429e+00
1.7482886829258519e+14 1.0250010363745544e-02 -2.2529514138662297e+00
1.7512926153707416e+14 1.0075330885030617e-02 -2.2420368349174931e+00
1.7542965478156312e+14 9.9032694011322916e-03 -2.2311434186151486e+00
1.7573004802605209e+14 9.7341862267017933e-03 -2.2202597309238419e+00
1.7603044127054109e+14 9.5683442515821608e-03 -2.2093582061595622e+00
1.7633083451503006e+14 9.4058572592169432e-03 -2.1983996977692990e+00
1.7663122775951903e+14 9.2466668839600117e-03 -2.1873403336510480e+00
1.7693162100400800e+14 9.0905521350947809e-03 -2.1761394055957481e+00
1.7723201424849700e+14 8.9371691845883307e-03 -2.1647667921014726e+00
1.7753240749298597e+14 8.7861134219989843e-03 -2.1532084842440704e+00
1.7783280073747494e+14 8.6369917489650585e-03 -2.1414691413304059e+00
1.7813319398196394e+14 8.4894914561868019e-03 -2.1295711664807309e+00
1.7843358722645291e+14 8.3434330053801502e-03 -2.1175504427514107e+00
1.7873398047094188e+14 8.1987973143708062e-03 -2.1054494834772823e+00
1.7903437371543088e+14 8.0557230101391958e-03 -2.0933092228585148e+00
1.7933476695991984e+14 7.9144746540417438e-03 -2.0811609333662777e+00
1.7963516020440881e+14 7.7753881898129156e-03 -2.0690197660942280e+00
1.7993555344889781e+14 7.6388039342696291e-03 -2.0568811595271752e+00
1.8023594669338678e+14 7.5049996244964962e-03 -2.0447208756282285e+00
1.8053633993787575e+14 7.3741359420678998e-03 -2.0324987657749478e+00
1.8083673318236472e+14 7.2462245262794210e-03 -2.0201656541369792e+00
1.8113712642685372e+14 7.1211241775961266e-03 -2.0076720960791854e+00
1.8143751967134269e+14 6.9985655619180642e-03 -1.9949773670066679e+00
1.8173791291583166e+14 6.8781993336359372e-03 -1.9820569618058086e+00
1.8203830616032062e+14 6.7596582852804009e-03 -1.9689071580394861e+00
1.8233869940480962e+14 6.6426217303892816e-03 -1.9555457539335868e+00
1.8263909264929859e+14 6.5268702191659950e-03 -1.9420088102574571e+00
1.8293948589378756e+14 6.4123207716717187e-03 -1.9283439580436186e+00
1.8323987913827656e+14 6.2990365891482285e-03 -1.9146014526644350e+00
1.8354027238276553e+14 6.1872099237720354e-03 -1.9008245658587462e+00
1.8384066562725450e+14 6.0771216174180191e-03 -1.8870410544427247e+00
1.8414105887174350e+14 5.9690849594765012e-03 -1.8732573021773287e+00
1.8444145211623247e+14 5.8633842786863484e-03 -1.8594563046755594e+00
1.8474184536072144e+14 5.7602195861939610e-03 -1.8456000018001091e+00
1.8504223860521044e+14 5.6596674217183783e-03 -1.8316356557277893e+00
1.8534263184969941e+14 5.5616649819135349e-03 -1.8175051751109217e+00
1.8564302509418838e+14 5.4660201822697317e-03 -1.8031556706057663e+00
1.8594341833867738e+14 5.3724453891816938e-03 -1.7885492443273303e+00
1.8624381158316634e+14 5.2806081536396045e-03 -1.7736701396145620e+00
1.8654420482765531e+14 5.1901892584059247e-03 -1.7585278792265500e+00
1.8684459807214428e+14 5.1009372981534453e-03 -1.7431557804738260e+00
1.8714499131663325e+14 5.0127099510398915e-03 -1.7276050888546399e+00
1.8744538456112225e+14 4.9254947709827064e-03 -1.7119357559956745e+00
1.8774577780561122e+14 4.8394061565011142e-03 -1.6962054798102453e+00
1.8804617105010019e+14 4.7546594325189907e-03 -1.6804589472024669e+00
1.8834656429458919e+14 4.6715270074358019e-03 -1.6647192308354790e+00
1.8864695753907816e+14 4.5902846987595477e-03 -1.6489829776839220e+00
1.8894735078356712e+14 4.5111580390290737e-03 -1.6332204079169343e+00
1.8924774402805612e+14 4.4342783508692224e-03 -1.6173802898276810e+00
1.8954813727254509e+14 4.3596565586955290e-03 -1.6013991076498570e+00
1.8984853051703406e+14 4.2871793680532037e-03 -1.5852127867855590e+00
1.9014892376152306e+14 4.2166282139432668e-03 -1.5687687867376685e+00
1.9044931700601203e+14 4.1477171057579046e-03 -1.5520362599889765e+00
1.9074971025050100e+14 4.0801420508319230e-03 -1.5350123375136384e+00
1.9105010349499000e+14 4.0136327875528394e-03 -1.5177233473271750e+00
1.9135049673947897e+14 3.9479974073749723e-03 -1.5002207244869799e+00
