["o1","LEFT"]
["o2","LEFT"]
("o1","mode 1",1,"o1",1,"transmission")
(500, 3)
1.8737028625000000e+14 2.5843023039485484e-05 4.9325493894361572e-01
1.8749545010187041e+14 2.7779621157981651e-05 4.0275901341316012e-01
1.8762061395374081e+14 2.9866139769754776e-05 3.2521435297950219e-01
1.8774577780561122e+14 3.2062386942659479e-05 2.5876741778253359e-01
1.8787094165748162e+14 3.4336436804998697e-05 2.0171920378580441e-01
1.8799610550935203e+14 3.6662868309284536e-05 1.5260342172896063e-01
1.8812126936122244e+14 3.9021203956944972e-05 1.1019395414741030e-01
1.8824643321309284e+14 4.1394654737778192e-05 7.3481762111798188e-02
1.8837159706496325e+14 4.3769159482670919e-05 4.1642177108872615e-02
1.8849676091683366e+14 4.6132668250849863e-05 1.4002228735395705e-02
1.8862192476870406e+14 4.8474614930468190e-05 -9.9882186152049895e-03
1.8874708862057447e+14 5.0785531857956259e-05 -3.0780534598835840e-02
1.8887225247244488e+14 5.3056769334775365e-05 -4.8746801407726026e-02
1.8899741632431531e+14 5.5280292181039528e-05 -6.4195333144633715e-02
1.8912258017618572e+14 5.7448532824040263e-05 -7.7382945236491085e-02
1.8924774402805612e+14 5.9554285941951147e-05 -8.8524624834599414e-02
1.8937290787992653e+14 6.1590633829263216e-05 -9.7801149700753542e-02
1.8949807173179694e+14 6.3550894558242450e-05 -1.0536509770724388e-01
1.8962323558366734e+14 6.5428587198002608e-05 -1.1134559510175936e-01
1.8974839943553775e+14 6.7217409852607192e-05 -1.1585207463260659e-01
1.8987356328740816e+14 6.8911227433368232e-05 -1.1897725257640371e-01
1.8999872713927856e+14 7.0504066881769086e-05 -1.2079948608343917e-01
1.9012389099114897e+14 7.1990118147052289e-05 -1.2138463400548684e-01
1.9024905484301938e+14 7.3363739710934414e-05 -1.2078751589748569e-01
1.9037421869488978e+14 7.4619467756092755e-05 -1.1905304081810487e-01
1.9049938254676019e+14 7.5752028338487456e-05 -1.1621706040463109e-01
1.9062454639863059e+14 7.6756352183430959e-05 -1.1230698596964317e-01
1.9074971025050100e+14 7.7627591808355164e-05 -1.0734219872376878e-01
1.9087487410237141e+14 7.8361140929159040e-05 -1.0133427218607985e-01
1.9100003795424181e+14 7.8952656167057320e-05 -9.4287018127283365e-02
1.9112520180611222e+14 7.9398081248852658e-05 -8.6196359835801942e-02
1.9125036565798262e+14 7.9693674028239890e-05 -7.7050029557574659e-02
1.9137552950985303e+14 7.9836036826383522e-05 -6.6827080125903257e-02
1.9150069336172344e+14 7.9822150768392097e-05 -5.5497192977231206e-02
1.9162585721359384e+14 7.9649415013819625e-05 -4.3019757318983151e-02
1.9175102106546425e+14 7.9315692126517078e-05 -2.9342684732038982e-02
1.9187618491733466e+14 8.0357174367849711e-05 -1.4135241043055854e-02
1.9200134876920506e+14 8.4005654560390515e-05 1.7194082449805785e-03
1.9212651262107550e+14 8.7491183507740179e-05 1.7280611560290510e-02
1.9225167647294591e+14 9.0810227188378224e-05 3.2628711472811232e-02
1.9237684032481631e+14 9.3959492429094232e-05 4.7828899774408067e-02
1.9250200417668672e+14 9.6935923140833110e-05 6.2934866853757876e-02
1.9262716802855712e+14 9.9736699988584412e-05 7.7991494744222151e-02
1.9275233188042753e+14 1.0235924237099192e-04 9.3036879309576215e-02
1.9287749573229794e+14 1.0480121192976596e-04 1.0810387425209930e-01
1.9300265958416834e+14 1.0706051706993602e-04 1.2322128932696079e-01
1.9312782343603875e+14 1.0913531810569314e-04 1.3841483632647084e-01
1.9325298728790916e+14 1.1102403282570256e-04 1.5370788923826476e-01
1.9337815113977956e+14 1.1272534228558460e-04 1.6912210666121388e-01
1.9350331499164997e+14 1.1423819672379596e-04 1.8467795222057207e-01
1.9362847884352038e+14 1.1556182154577072e-04 2.0039513977981066e-01
1.9375364269539078e+14 1.1669572333079703e-04 2.1629302387212002e-01
1.9387880654726119e+14 1.1763969587287407e-04 2.3239095147785629e-01
1.9400397039913159e+14 1.1839382626465540e-04 2.4870858807110360e-01
1.9412913425100200e+14 1.1895850107329757e-04 2.6526622873952022e-01
1.9425429810287241e+14 1.1933441267465793e-04 2.8208510354730210e-01
1.9437946195474281e+14 1.1952256582393364e-04 2.9918768548305774e-01
1.9450462580661322e+14 1.1952428459591079e-04 3.1659800868215626e-01
1.9462978965848362e+14 1.1934121980352794e-04 3.3434200457049590e-01
1.9475495351035403e+14 1.1897535711295607e-04 3.5244786345441970e-01
1.9488011736222444e+14 1.1842902601137980e-04 3.7094642967830849e-01
1.9500528121409484e+14 1.1770490993480709e-04 3.8987163914754325e-01
1.9513044506596525e+14 1.1680605783138486e-04 4.0926100864353054e-01
1.9525560891783569e+14 1.1573589754811512e-04 4.2915618792810545e-01
1.9538077276970609e+14 1.1449825149858211e-04 4.4960358676762224e-01
1.9550593662157650e+14 1.1309735516055291e-04 4.7065509098823977e-01
1.9563110047344691e+14 1.1153787907088993e-04 4.9236888361347392e-01
1.9575626432531731e+14 1.0982495514325264e-04 5.1481038932599898e-01
1.9588142817718772e+14 1.0796420829623979e-04 5.3805336321585495e-01
1.9600659202905812e+14 1.0596179461687283e-04 5.6218114700691868e-01
1.9613175588092853e+14 1.0382444752769319e-04 5.8728811863345987e-01
1.9625691973279894e+14 1.0155953376569329e-04 6.1348136233216266e-01
1.9638208358466934e+14 1.0125136396627103e-04 6.2568068926772158e-01
1.9650724743653975e+14 1.0160092599932563e-04 6.3186524300254299e-01
1.9663241128841016e+14 1.0177172931641662e-04 6.3788897295905489e-01
1.9675757514028056e+14 1.0176787915351273e-04 6.4372174939159499e-01
1.9688273899215097e+14 1.0159374305613571e-04 6.4933298788017790e-01
1.9700790284402138e+14 1.0125394760544854e-04 6.5469134770669279e-01
1.9713306669589178e+14 1.0075337524711157e-04 6.5976444003626167e-01
1.9725823054776219e+14 1.0009716121395487e-04 6.6451853853074161e-01
1.9738339439963259e+14 9.9290690617710311e-05 6.6891828758385952e-01
1.9750855825150300e+14 9.8339595772225602e-05 6.7292640246313717e-01
1.9763372210337341e+14 9.7249753775908258e-05 6.7650335678101414e-01
1.9775888595524381e+14 9.6027284471079905e-05 6.7960705328406201e-01
1.9788404980711422e+14 9.4678548826400969e-05 6.8219247383700787e-01
1.9800921365898462e+14 9.3210147867531422e-05 6.8421130506901529e-01
1.9813437751085503e+14 9.1628922233586696e-05 6.8561153667040442e-01
1.9825954136272544e+14 8.9941952483169537e-05 6.8633702956290810e-01
1.9838470521459588e+14 8.8156560259427421e-05 6.8632705239487879e-01
1.9850986906646628e+14 8.6280310435111909e-05 6.8551578574764127e-01
1.9863503291833669e+14 8.4321014352141364e-05 6.8383179531571436e-01
1.9876019677020709e+14 8.2286734263972748e-05 6.8119747796200636e-01
1.9888536062207750e+14 8.0185789059560820e-05 6.7752848796232756e-01
1.9901052447394791e+14 7.8026761329213392e-05 6.7273315632641628e-01
1.9913568832581831e+14 7.5818505725387604e-05 6.6671192237876031e-01
1.9926085217768872e+14 7.3570158537770614e-05 6.5935680762147431e-01
1.9938601602955912e+14 7.1291148182182296e-05 6.5055097367232229e-01
1.9951117988142953e+14 6.8991206146434562e-05 6.4016842445015876e-01
1.9963634373329994e+14 6.6680377580116863e-05 6.2807393405253209e-01
1.9976150758517034e+14 6.4369030328777799e-05 6.1412331087303573e-01
1.9988667143704075e+14 6.2067860602183010e-05 5.9816414208034963e-01
2.0001183528891116e+14 5.9787892713096393e-05 5.8003720313345475e-01
2.0013699914078156e+14 5.7540469327417304e-05 5.5957875988397265e-01
2.0026216299265197e+14 5.5337227477960983e-05 5.3662403242729850e-01
2.0038732684452238e+14 5.3190054155245295e-05 5.1101211970766913e-01
2.0051249069639278e+14 5.1111013806158432e-05 4.8259268544485578e-01
2.0063765454826319e+14 4.9112238692925648e-05 4.5123465799363405e-01
2.0076281840013359e+14 4.7402380453760338e-05 4.1500710966426563e-01
2.0088798225200400e+14 4.8413633065349294e-05 3.5475813806366024e-01
2.0101314610387441e+14 4.9641257953949753e-05 2.9714957808028553e-01
2.0113830995574481e+14 5.1074642550737362e-05 2.4266118180987650e-01
2.0126347380761522e+14 5.2700206226173074e-05 1.9163810002801762e-01
2.0138863765948562e+14 5.4502244803111438e-05 1.4429434008767900e-01
2.0151380151135606e+14 5.6463721648512206e-05 1.0072630953851770e-01
2.0163896536322647e+14 5.8566947575941237e-05 6.0932222823660821e-02
2.0176412921509688e+14 6.0794123200928369e-05 2.4833581860147561e-02
2.0188929306696728e+14 6.3127742103285351e-05 -7.7040682309005822e-03
2.0201445691883769e+14 6.5550868971224358e-05 -3.6852811699779636e-02
2.0213962077070809e+14 6.8047314602280094e-05 -6.2807236459018881e-02
2.0226478462257850e+14 7.0601731315802130e-05 -8.5772625144370743e-02
2.0238994847444891e+14 7.3199650509857503e-05 -1.0595618503316107e-01
2.0251511232631931e+14 7.5827480541532406e-05 -1.2356085272162817e-01
2.0264027617818972e+14 7.8472479156705880e-05 -1.3878116118623085e-01
